run	gcf	members	genomes	coupling_class	rank	intact
before	18	1	1	Decarboxylase	1	1.0
before	17	1	1	Decarboxylase	2	1.0
before	7	2	2	Decarboxylase	3	1.0
before	13	1	1	Decarboxylase	4	1.0
before	20	1	1	Decarboxylase	5	1.0
before	15	1	1	Decarboxylase	6	1.0
before	5	2	2	Reductase	7	1.0
before	6	2	2	-	8	1.0
before	19	1	1	Reductase	9	1.0
before	8	2	2	Reductase	10	0.5
before	1	2	2	-	11	0.5
before	3	2	2	Synthase	12	0.0
before	4	6	6	Decarboxylase	13	0.167
before	2	2	2	Decarboxylase	14	0.5
before	12	1	1	Decarboxylase	15	0.0
before	9	1	1	Decarboxylase	16	1.0
before	10	1	1	Decarboxylase	17	1.0
before	11	1	1	Decarboxylase	18	1.0
before	14	1	1	Decarboxylase	19	0.0
before	16	1	1	Decarboxylase	20	0.0
after	5	2	2	Decarboxylase	1	1.0
after	19	1	1	Decarboxylase	2	1.0
after	17	1	1	Decarboxylase	3	1.0
after	20	1	1	Decarboxylase	4	1.0
after	18	1	1	Decarboxylase	5	1.0
after	7	2	2	Reductase	6	1.0
after	11	1	1	Decarboxylase	7	1.0
after	15	1	1	Reductase	8	1.0
after	3	2	2	-	9	1.0
after	1	2	2	Reductase	10	0.5
after	6	2	2	Synthase	11	0.0
after	2	6	6	Decarboxylase	12	0.167
after	8	2	2	Decarboxylase	13	0.5
after	16	1	1	Decarboxylase	14	0.0
after	10	1	1	-	15	1.0
after	9	1	1	-	16	0.0
after	4	2	2	Decarboxylase	17	0.5
after	12	1	1	Decarboxylase	18	1.0
after	13	1	1	Decarboxylase	19	0.0
after	14	1	1	Decarboxylase	20	1.0
