task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
5	3d/ccd99b	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_MAKEDB	COMPLETED	0	2026-09-22 16:23:25.455	2026-09-22 16:23:25.493	2026-09-22 16:23:26.781	50ms	1	2 GB	12.1 MB	708 MB	117.9%	0.0%	158.9 KB	3.3 KB
1	71/517d27	BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	0	2026-09-22 16:23:25.440	2026-09-22 16:23:25.489	2026-09-22 16:23:28.956	2.2s	1	1 GB	115.2 MB	2.3 GB	127.1%	0.2%	36.1 MB	293 B
4	37/86cbd2	DOWNLOAD_GENOMES:NCBI_DATASETS_DOWNLOAD (Erwiniaceae)	COMPLETED	0	2026-09-22 16:23:25.464	2026-09-22 16:23:25.495	2026-09-22 16:38:20.176	14m 53s	4	8 GB	23.6 MB	1.2 GB	46.3%	0.0%	8 GB	24.1 GB
9	a2/db4d33	DOWNLOAD_GENOMES:CREATE_NAME_MAP (Erwiniaceae)	COMPLETED	0	2026-09-22 16:38:20.310	2026-09-22 16:38:20.378	2026-09-22 16:38:21.589	72ms	1	2 GB	10.9 MB	15.3 MB	92.8%	0.0%	1.2 MB	144.6 KB
15	9f/32dee8	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.646	2026-09-22 16:38:21.694	2026-09-22 16:38:26.651	2.2s	1	2 GB	14.9 MB	18.6 MB	89.3%	0.0%	520.7 MB	519.6 MB
10	0b/9c4a95	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.655	2026-09-22 16:38:21.694	2026-09-22 16:38:27.630	3.2s	1	2 GB	14.7 MB	18.6 MB	86.3%	0.0%	709.7 MB	708.6 MB
21	8e/746185	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.734	2026-09-22 16:38:21.809	2026-09-22 16:38:27.896	3.5s	1	2 GB	14.8 MB	18.6 MB	88.2%	0.0%	843.2 MB	842.1 MB
12	95/27770f	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.686	2026-09-22 16:38:21.697	2026-09-22 16:38:27.953	3.5s	1	2 GB	14.8 MB	18.6 MB	80.2%	0.0%	742.3 MB	741.2 MB
13	0b/eb1b6a	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.634	2026-09-22 16:38:21.693	2026-09-22 16:38:28.265	4s	1	2 GB	14.8 MB	18.6 MB	70.8%	0.0%	786.7 MB	785.6 MB
24	3d/04f219	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.694	2026-09-22 16:38:21.796	2026-09-22 16:38:28.270	3.9s	1	2 GB	15 MB	18.6 MB	76.8%	0.0%	848.3 MB	847.2 MB
22	ab/d0e3f3	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.749	2026-09-22 16:38:21.810	2026-09-22 16:38:28.521	2.9s	1	2 GB	15 MB	18.6 MB	77.4%	0.0%	763.8 MB	762.7 MB
16	db/d886aa	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.665	2026-09-22 16:38:21.695	2026-09-22 16:38:28.612	4.3s	1	2 GB	14.9 MB	18.6 MB	74.0%	0.0%	906.7 MB	905.6 MB
17	a7/241449	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.780	2026-09-22 16:38:21.825	2026-09-22 16:38:28.888	3.3s	1	2 GB	14.8 MB	18.6 MB	71.6%	0.0%	779.5 MB	778.4 MB
