run	gcf	members	genomes	coupling_class	rank	intact
before	7	5	5	(unclassified)		0.4
before	16	1	1	(unclassified)		1.0
before	1	23	23	Reductase	1	1.0
before	5	26	26	Decarboxylase-Nucleotidyltransferase	2	0.885
before	9	5	5	Reductase	3	1.0
before	19	1	1	Reductase	4	1.0
before	6	19	19	Decarboxylase	5	0.526
before	13	1	1	Reductase	6	1.0
before	4	4	4	Decarboxylase	7	1.0
before	12	2	2	Decarboxylase-Nucleotidyltransferase	8	1.0
before	18	1	1	Decarboxylase	9	1.0
before	14	1	1	Decarboxylase	10	1.0
before	10	3	3	Decarboxylase-Nucleotidyltransferase	11	0.333
before	11	2	2	Decarboxylase-Nucleotidyltransferase	12	1.0
before	17	1	1	Decarboxylase	13	1.0
before	15	1	1	Reductase	14	0.0
before	8	1	1	Transaminase	15	0.0
before	3	21	21	Synthase	16	0.857
before	2	215	215	Synthase	17	0.893
after	4	27	27	Decarboxylase	1	0.889
after	10	4	4	Decarboxylase	2	1.0
after	11	2	2	Decarboxylase	3	1.0
after	9	2	2	Decarboxylase	4	1.0
after	15	1	1	Decarboxylase	5	1.0
after	12	3	3	Decarboxylase	6	0.333
after	14	1	1	-	7	1.0
after	5	20	20	Decarboxylase	8	0.55
after	8	23	23	Reductase	9	1.0
after	13	1	1	Reductase	10	1.0
after	3	5	5	Reductase	11	1.0
after	16	1	1	Reductase	12	1.0
after	17	1	1	Decarboxylase	13	1.0
after	6	5	5	-	14	0.4
after	18	1	1	Reductase	15	0.0
after	7	1	1	Transaminase	16	0.0
after	1	21	21	Synthase	17	0.857
after	2	215	215	Synthase	18	0.893
