task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
4	e3/63aed6	BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	0	2026-09-18 11:30:57.234	2026-09-18 11:30:57.311	2026-09-18 11:31:00.754	2.4s	1	1 GB	165 MB	2.4 GB	117.2%	0.3%	36.1 MB	299 B
5	b0/5315e4	BGC_ANALYSIS:ANTISMASH_ANALYSIS:BUILD_PROTEIN_POOL (Actinomycete_pool)	COMPLETED	0	2026-09-18 11:30:57.267	2026-09-18 11:30:57.318	2026-09-18 11:33:27.103	2m 28s	1	2 GB	663.6 MB	2.9 GB	100.5%	1.1%	5.5 GB	336.6 MB
7	70/809aa8	BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (123 genomes)	COMPLETED	0	2026-09-18 11:33:27.141	2026-09-18 11:33:27.205	2026-09-18 12:01:18.229	27m 50s	4	8 GB	1 GB	5.3 GB	257.2%	1.8%	69.7 GB	34.3 GB
6	4c/2be6d2	BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (200 genomes)	COMPLETED	0	2026-09-18 11:33:27.132	2026-09-18 11:33:27.203	2026-09-18 12:18:25.588	44m 57s	4	8 GB	1 GB	5.3 GB	277.1%	1.8%	129.4 GB	64 GB
8	7c/3231a8	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 12:18:25.710	2026-09-18 12:18:25.789	2026-09-18 13:02:14.316	43m 47s	2	6 GB	4.8 GB	7.9 GB	103.8%	8.1%	214.8 GB	5.1 GB
14	92/eddcd9	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (23 genomes)	COMPLETED	0	2026-09-18 12:18:25.716	2026-09-18 12:18:25.790	2026-09-18 13:13:44.857	55m 18s	2	6 GB	4.7 GB	8.1 GB	102.9%	5.5%	156.1 GB	5 GB
11	33/8b9186	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 12:18:25.738	2026-09-18 12:18:25.792	2026-09-18 13:19:24.315	1h 57s	2	6 GB	4.8 GB	8 GB	96.9%	4.8%	153.6 GB	6.4 GB
10	a8/6671ca	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 12:18:25.724	2026-09-18 12:18:25.791	2026-09-18 13:28:40.743	1h 10m 13s	2	6 GB	4.9 GB	8 GB	103.5%	5.8%	243 GB	7.3 GB
12	0a/d140f0	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 12:18:25.730	2026-09-18 12:18:25.791	2026-09-18 13:32:38.815	1h 14m 11s	2	6 GB	4.8 GB	8 GB	97.0%	6.4%	208.3 GB	8.1 GB
9	9a/0a3aa8	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 12:18:25.756	2026-09-18 12:18:25.793	2026-09-18 13:34:59.118	1h 16m 32s	2	6 GB	4.9 GB	8.1 GB	109.1%	5.3%	340.3 GB	8.1 GB
13	7f/468196	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 12:18:25.747	2026-09-18 12:18:25.793	2026-09-18 13:49:38.062	1h 31m 11s	2	6 GB	4.7 GB	8 GB	103.0%	4.9%	449.2 GB	9.1 GB
16	91/8f79d1	BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Actinomycete_pool)	COMPLETED	0	2026-09-18 13:49:38.267	2026-09-18 13:49:38.362	2026-09-18 13:50:01.131	21.2s	8	16 GB	15.7 GB	37.2 GB	319.7%	27.5%	2.5 GB	23.3 MB
15	bc/61ec88	BGC_ANALYSIS:TABULATE_REGIONS (Actinomycete_pool)	COMPLETED	0	2026-09-18 13:49:38.224	2026-09-18 13:49:38.262	2026-09-18 13:50:01.713	21.3s	1	2 GB	133.7 MB	137.4 MB	100.4%	0.2%	4.4 GB	6.6 KB
21	62/b222a5	BGC_ANALYSIS:CLUSTERING:CLUSTERING_STATS (Actinomycete_pool)	COMPLETED	0	2026-09-18 13:50:01.153	2026-09-18 13:50:01.232	2026-09-18 13:50:02.745	61ms	1	2 GB	11.8 MB	15.9 MB	97.4%	0.0%	1.1 MB	969 B
19	b0/41a81b	BGC_ANALYSIS:HEADGROUP_PREDICTION (Actinomycete_pool)	COMPLETED	0	2026-09-18 13:50:01.177	2026-09-18 13:50:01.233	2026-09-18 13:50:03.972	733ms	4	8 GB	12.8 MB	16.7 MB	167.6%	0.0%	11.9 MB	334.4 KB
22	a0/11eed5	BGC_ANALYSIS:GCF_ANNOTATION_TRANSFER (Actinomycete_pool)	COMPLETED	0	2026-09-18 13:50:01.192	2026-09-18 13:50:01.233	2026-09-18 13:50:04.646	1.4s	4	8 GB	47.1 MB	2.3 GB	199.1%	0.1%	12.8 MB	856.2 KB
