task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
1	79/94e76c	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_MAKEDB	COMPLETED	0	2026-09-18 14:37:30.897	2026-09-18 14:37:30.987	2026-09-18 14:37:32.047	46ms	1	2 GB	45.2 MB	1.3 GB	136.2%	0.1%	158.9 KB	3.3 KB
2	2c/fa3d53	BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	0	2026-09-18 14:37:30.880	2026-09-18 14:37:30.886	2026-09-18 14:37:34.431	2.5s	1	1 GB	164.5 MB	2.4 GB	110.4%	0.3%	36.1 MB	299 B
6	2d/0ef8f7	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (123 genomes)	COMPLETED	0	2026-09-18 14:37:32.168	2026-09-18 14:37:32.247	2026-09-18 14:38:53.065	1m 20s	4	8 GB	1.9 GB	5.5 GB	205.8%	2.7%	2.7 GB	481.8 MB
5	82/300a81	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	0	2026-09-18 14:37:32.182	2026-09-18 14:37:32.249	2026-09-18 14:39:24.632	1m 51s	4	8 GB	1.7 GB	5.7 GB	168.8%	3.0%	3.8 GB	565.9 MB
7	44/01eb48	BGC_ANALYSIS:ANTISMASH_ANALYSIS:BUILD_PROTEIN_POOL (Actinomycete_pool)	COMPLETED	0	2026-09-18 14:39:24.655	2026-09-18 14:39:24.732	2026-09-18 14:39:46.012	20.3s	1	2 GB	249.1 MB	2.4 GB	105.6%	0.4%	859.3 MB	71 MB
8	9f/c3a52f	BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (54 genomes)	COMPLETED	0	2026-09-18 14:39:46.031	2026-09-18 14:39:46.112	2026-09-18 14:47:38.040	7m 51s	4	8 GB	428.3 MB	4.2 GB	205.4%	0.6%	7 GB	3.1 GB
10	ba/0172c2	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (4 genomes)	COMPLETED	0	2026-09-18 14:47:38.105	2026-09-18 14:47:38.140	2026-09-18 14:55:22.073	7m 43s	2	6 GB	4.8 GB	8.1 GB	95.8%	5.7%	42.8 GB	908.3 MB
9	e5/bb40ef	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-18 14:47:38.111	2026-09-18 14:47:38.141	2026-09-18 15:44:14.808	56m 35s	2	6 GB	4.9 GB	8.4 GB	104.5%	7.9%	670.8 GB	6.4 GB
12	0a/3b7a07	BGC_ANALYSIS:TABULATE_REGIONS (Actinomycete_pool)	COMPLETED	0	2026-09-18 15:44:15.029	2026-09-18 15:44:15.109	2026-09-18 15:44:19.552	3.1s	1	2 GB	113 MB	116.9 MB	101.1%	0.1%	715.6 MB	6.6 KB
13	43/689918	BGC_ANALYSIS:COUNT_REGIONS (Actinomycete_pool)	COMPLETED	0	2026-09-18 15:44:15.037	2026-09-18 15:44:15.110	2026-09-18 15:44:19.615	3.2s	1	2 GB	113.2 MB	117 MB	101.4%	0.2%	715.6 MB	8.7 KB
14	76/5e189b	BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	COMPLETED	0	2026-09-18 15:44:19.625	2026-09-18 15:44:19.715	2026-09-18 15:44:20.786	47ms	1	2 GB	15.8 MB	19.7 MB	106.7%	0.0%	1.3 MB	72.3 KB
11	6d/8fb453	BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Actinomycete_pool)	COMPLETED	0	2026-09-18 15:44:15.064	2026-09-18 15:44:15.110	2026-09-18 15:44:35.358	19s	8	16 GB	15.7 GB	37.3 GB	336.3%	27.8%	2.5 GB	23.2 MB
21	0e/1e8122	BGC_ANALYSIS:CLUSTERING:CLUSTERING_STATS (Actinomycete_pool)	COMPLETED	0	2026-09-18 15:44:35.380	2026-09-18 15:44:35.460	2026-09-18 15:44:36.961	85ms	1	2 GB	11.2 MB	15.7 MB	54.5%	0.0%	1.1 MB	969 B
17	01/71ef5a	BGC_ANALYSIS:COLLECT_VERSIONS (versions)	COMPLETED	0	2026-09-18 15:44:35.407	2026-09-18 15:44:35.462	2026-09-18 15:44:37.020	27ms	1	2 GB	7.8 MB	10.4 MB	140.4%	0.0%	883.4 KB	735 B
15	6b/839c48	BGC_ANALYSIS:HEADGROUP_PREDICTION (Actinomycete_pool)	COMPLETED	0	2026-09-18 15:44:35.386	2026-09-18 15:44:35.461	2026-09-18 15:44:37.689	615ms	4	8 GB	17.5 MB	60.2 MB	224.8%	0.0%	11.9 MB	327.4 KB
