BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	1.9s	1	149 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:BUILD_PROTEIN_POOL (Erwiniaceae)	COMPLETED	52.5s	1	191.8 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (200 genomes)	COMPLETED	10m 45s	4	264.4 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (144 genomes)	COMPLETED	7m 31s	4	261.3 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	44m 32s	2	4.8 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	31m 41s	2	4.8 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	37m 46s	2	4.8 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	38m 57s	2	4.8 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	40m 15s	2	4.8 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (44 genomes)	COMPLETED	28m 29s	2	4.8 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	42m 42s	2	4.9 GB
BGC_ANALYSIS:TABULATE_REGIONS (Erwiniaceae)	COMPLETED	8.7s	1	64.6 MB
BGC_ANALYSIS:COUNT_REGIONS (Erwiniaceae)	COMPLETED	10.1s	1	67.8 MB
BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Erwiniaceae)	ABORTED	-	8	-
BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	FAILED	1.5s	1	-
