task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
4	62/c15bff	BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	0	2026-09-18 23:51:00.584	2026-09-18 23:51:00.674	2026-09-18 23:51:04.399	2.4s	1	1 GB	107.7 MB	2.3 GB	94.6%	0.2%	36.1 MB	359 B
2	e9/47a29e	DOWNLOAD_GENOMES:DOWNLOAD_TAXONKIT_DB (NCBI taxonomy)	COMPLETED	0	2026-09-18 23:51:42.142	2026-09-18 23:51:42.188	2026-09-18 23:52:01.607	18.1s	1	2 GB	13.6 MB	19.4 MB	18.3%	0.0%	147.3 MB	606 MB
1	f1/64bda2	DOWNLOAD_GENOMES:NCBI_DATASETS_DOWNLOAD (Bacteroides fragilis)	COMPLETED	0	2026-09-18 23:51:00.599	2026-09-18 23:51:00.678	2026-09-18 23:53:19.939	2m 18s	4	8 GB	20.7 MB	1.2 GB	19.4%	0.0%	498.3 MB	1.5 GB
7	b4/fc0d5a	DOWNLOAD_GENOMES:CREATE_NAME_MAP (Bacteroides fragilis)	COMPLETED	0	2026-09-18 23:53:19.983	2026-09-18 23:53:20.041	2026-09-18 23:53:21.465	53ms	1	2 GB	12.8 MB	16.8 MB	75.5%	0.0%	994.9 KB	8.1 KB
9	ff/bc7fbb	DOWNLOAD_GENOMES:RENAME_GENOMES (36 genomes)	COMPLETED	0	2026-09-18 23:53:21.498	2026-09-18 23:53:21.565	2026-09-18 23:53:23.982	551ms	1	2 GB	13.6 MB	17.4 MB	100.2%	0.0%	324.4 MB	323.4 MB
6	9d/826d42	DOWNLOAD_GENOMES:EXTRACT_TAXONOMY (Extracting taxonomy from NCBI metadata)	COMPLETED	0	2026-09-18 23:53:19.977	2026-09-18 23:53:20.039	2026-09-18 23:53:24.388	3s	1	2 GB	724.6 MB	2.8 GB	215.2%	1.2%	511.1 MB	123.3 KB
8	ac/1adf6a	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-18 23:53:21.525	2026-09-18 23:53:21.567	2026-09-18 23:53:25.041	1.5s	1	2 GB	13.9 MB	17.7 MB	101.7%	0.0%	1.1 GB	1.1 GB
10	c4/a65ccb	BGC_ANALYSIS:ANTISMASH_ANALYSIS:BUILD_PROTEIN_POOL (Bacteroides fragilis)	COMPLETED	0	2026-09-18 23:53:25.092	2026-09-18 23:53:25.141	2026-09-18 23:54:18.896	52.1s	1	2 GB	198.7 MB	2.4 GB	102.3%	0.3%	1.4 GB	40.8 MB
5	09/14cea9	BGC_ANALYSIS:CLUSTERING:DOWNLOAD_PFAM (Pfam database)	COMPLETED	0	2026-09-18 23:51:34.533	2026-09-18 23:51:34.555	2026-09-18 23:58:37.088	7m 1s	1	2 GB	13.6 MB	19.4 MB	9.4%	0.0%	2.9 GB	4.9 GB
3	61/29c66c	BGC_ANALYSIS:ANTISMASH_ANALYSIS:DOWNLOAD_ANTISMASH_DBS (antiSMASH databases)	COMPLETED	0	2026-09-18 23:51:00.606	2026-09-18 23:51:00.680	2026-09-19 00:00:10.380	9m 8s	1	2 GB	1.4 GB	7.1 GB	38.9%	2.2%	10.3 GB	13 GB
11	a8/a3bb52	BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (136 genomes)	COMPLETED	0	2026-09-18 23:54:18.920	2026-09-18 23:54:18.996	2026-09-19 00:16:13.294	21m 53s	4	8 GB	256.5 MB	4.2 GB	171.3%	0.4%	12.7 GB	5.5 GB
14	05/acb01d	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (36 genomes)	COMPLETED	0	2026-09-19 00:16:13.378	2026-09-19 00:16:13.395	2026-09-19 00:37:45.251	21m 31s	2	6 GB	4.8 GB	8.1 GB	133.0%	8.0%	540.6 GB	1.7 GB
13	80/f512d1	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-19 00:16:13.372	2026-09-19 00:16:13.395	2026-09-19 00:42:57.933	26m 43s	2	6 GB	4.9 GB	8.2 GB	138.8%	7.4%	887.4 GB	2.5 GB
12	5f/5330c8	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-19 00:16:13.385	2026-09-19 00:16:13.396	2026-09-19 00:43:17.807	27m 3s	2	6 GB	4.9 GB	8.4 GB	138.3%	7.6%	842 GB	2.6 GB
16	8a/15499f	BGC_ANALYSIS:TABULATE_REGIONS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:43:18.009	2026-09-19 00:43:18.107	2026-09-19 00:43:24.515	4.9s	1	2 GB	75.4 MB	79.2 MB	101.1%	0.1%	1.2 GB	30.9 KB
17	5e/eb7173	BGC_ANALYSIS:COUNT_REGIONS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:43:18.019	2026-09-19 00:43:18.109	2026-09-19 00:43:24.545	4.9s	1	2 GB	75.5 MB	79.5 MB	101.2%	0.1%	1.2 GB	18.7 KB
18	89/5bf54f	BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	COMPLETED	0	2026-09-19 00:43:24.553	2026-09-19 00:43:24.645	2026-09-19 00:43:25.681	35ms	1	2 GB	3.2 MB	4.6 MB	129.7%	0.0%	1.1 MB	79.7 KB
15	d7/548b7f	BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:43:18.041	2026-09-19 00:43:18.110	2026-09-19 00:44:05.832	46.4s	8	32 GB	15.9 GB	37.5 GB	537.6%	28.1%	2.5 GB	74.3 MB
24	51/8bf97a	BGC_ANALYSIS:CLUSTERING:CLUSTERING_STATS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:05.852	2026-09-19 00:44:05.935	2026-09-19 00:44:07.537	78ms	1	2 GB	3.2 MB	4.6 MB	77.2%	0.0%	1.1 MB	977 B
20	68/3d9e6e	BGC_ANALYSIS:HEADGROUP_PREDICTION (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:05.861	2026-09-19 00:44:05.936	2026-09-19 00:44:09.558	1.9s	4	8 GB	48.5 MB	2.3 GB	154.4%	0.1%	36.9 MB	1.3 MB
26	0b/c0ab1a	BGC_ANALYSIS:COLLECT_VERSIONS (versions)	COMPLETED	0	2026-09-19 00:44:05.897	2026-09-19 00:44:05.941	2026-09-19 00:44:12.649	5s	1	2 GB	172.5 MB	2.4 GB	142.5%	0.3%	110.7 MB	2.8 KB
19	7f/af3ae0	BGC_ANALYSIS:GCF_ANNOTATION_TRANSFER (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:09.564	2026-09-19 00:44:09.658	2026-09-19 00:44:15.363	4s	4	8 GB	85.4 MB	3.8 GB	221.4%	0.1%	45.4 MB	8.6 MB
23	c7/50271b	BGC_ANALYSIS:CLUSTERING:EXTRACT_GCF_REPRESENTATIVES (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:05.877	2026-09-19 00:44:05.937	2026-09-19 00:44:17.497	9.6s	1	2 GB	159.3 MB	2.4 GB	107.6%	0.3%	1 GB	1 MB
25	a3/6a5f61	BGC_ANALYSIS:PEPM_ALL_BY_ALL (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:05.847	2026-09-19 00:44:05.933	2026-09-19 00:44:27.068	19.7s	4	8 GB	70.7 MB	2.2 GB	108.5%	0.1%	3.6 GB	3.9 MB
22	40/88a86a	BGC_ANALYSIS:CLUSTERING:BIGSCAPE_REFERENCES (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:17.504	2026-09-19 00:44:17.597	2026-09-19 00:44:28.289	9.4s	8	32 GB	15.8 GB	38 GB	238.5%	28.0%	2.5 GB	73.6 MB
21	c4/f87f6b	BGC_ANALYSIS:GCF_BIOSYNTHETIC_TREE (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:05.887	2026-09-19 00:44:05.939	2026-09-19 00:44:52.793	44.6s	4	8 GB	108.9 MB	2.3 GB	108.8%	0.2%	5.1 GB	751.7 KB
27	1b/b1851c	BGC_ANALYSIS:NOVELTY_SCORE (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:52.808	2026-09-19 00:44:52.894	2026-09-19 00:44:52.956	90ms	1	2 GB	18 MB	25.3 MB	96.4%	0.0%	3.4 MB	2.5 KB
28	5a/ae6b61	BGC_ANALYSIS:VISUALIZE_RESULTS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:44:52.975	2026-09-19 00:44:53.057	2026-09-19 00:44:55.159	1.2s	4	8 GB	143.8 MB	2.4 GB	200.2%	0.2%	53.5 MB	3.7 MB
