task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
1	d1/2c3bb6	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_MAKEDB	COMPLETED	0	2026-09-19 00:45:06.431	2026-09-19 00:45:06.493	2026-09-19 00:45:08.071	35ms	1	2 GB	3.4 MB	4.6 MB	151.4%	0.0%	158.9 KB	3.3 KB
2	ab/92a5f7	BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	0	2026-09-19 00:45:06.383	2026-09-19 00:45:06.483	2026-09-19 00:45:09.297	1.5s	1	1 GB	165.5 MB	2.4 GB	156.3%	0.3%	36.1 MB	291 B
3	3c/05e4bc	DOWNLOAD_GENOMES:DOWNLOAD_TAXONKIT_DB (NCBI taxonomy)	COMPLETED	0	2026-09-19 00:45:06.442	2026-09-19 00:45:06.494	2026-09-19 00:45:28.562	20.6s	1	2 GB	13.4 MB	19.4 MB	15.5%	0.0%	147.3 MB	606 MB
4	07/45ec4c	DOWNLOAD_GENOMES:NCBI_DATASETS_DOWNLOAD (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:45:06.413	2026-09-19 00:45:06.490	2026-09-19 00:46:25.456	1m 18s	4	8 GB	20.3 MB	1.2 GB	32.1%	0.0%	497.6 MB	1.5 GB
7	bd/e3051c	DOWNLOAD_GENOMES:CREATE_NAME_MAP (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:46:25.483	2026-09-19 00:46:25.556	2026-09-19 00:46:26.603	27ms	1	2 GB	3.2 MB	4.6 MB	127.0%	0.0%	994.9 KB	8.1 KB
10	27/fe6ef9	DOWNLOAD_GENOMES:RENAME_GENOMES (36 genomes)	COMPLETED	0	2026-09-19 00:46:26.634	2026-09-19 00:46:26.704	2026-09-19 00:46:28.454	491ms	1	2 GB	13.9 MB	17.4 MB	102.5%	0.0%	324.4 MB	323.4 MB
8	b2/7ae6ff	DOWNLOAD_GENOMES:EXTRACT_TAXONOMY (Extracting taxonomy from NCBI metadata)	COMPLETED	0	2026-09-19 00:46:25.489	2026-09-19 00:46:25.558	2026-09-19 00:46:28.575	2s	1	2 GB	596.6 MB	2.7 GB	216.6%	1.0%	511.1 MB	123.3 KB
9	04/725473	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-19 00:46:26.645	2026-09-19 00:46:26.705	2026-09-19 00:46:29.286	1.2s	1	2 GB	14 MB	17.7 MB	100.3%	0.0%	1.1 GB	1.1 GB
11	0c/962251	BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (136 genomes)	COMPLETED	0	2026-09-19 00:46:29.354	2026-09-19 00:46:29.386	2026-09-19 00:47:25.155	54.6s	4	8 GB	1.6 GB	4.8 GB	212.5%	1.0%	1.7 GB	297.4 MB
12	6d/be9307	BGC_ANALYSIS:ANTISMASH_ANALYSIS:BUILD_PROTEIN_POOL (Bacteroides fragilis)	COMPLETED	0	2026-09-19 00:47:25.188	2026-09-19 00:47:25.255	2026-09-19 00:47:52.820	26.4s	1	2 GB	183.1 MB	2.4 GB	104.8%	0.3%	1 GB	29.8 MB
5	dd/39766e	BGC_ANALYSIS:ANTISMASH_ANALYSIS:DOWNLOAD_ANTISMASH_DBS (antiSMASH databases)	COMPLETED	0	2026-09-19 00:45:06.403	2026-09-19 00:45:06.489	2026-09-19 00:55:48.484	10m 41s	1	2 GB	1.2 GB	6.9 GB	33.9%	2.0%	10.3 GB	13 GB
6	16/45a32c	BGC_ANALYSIS:CLUSTERING:DOWNLOAD_PFAM (Pfam database)	COMPLETED	0	2026-09-19 00:45:06.422	2026-09-19 00:45:06.492	2026-09-19 00:58:19.107	13m 11s	1	2 GB	13.4 MB	19.4 MB	4.9%	0.0%	2.9 GB	4.9 GB
13	97/1bab8c	BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (97 genomes)	COMPLETED	0	2026-09-19 00:47:52.836	2026-09-19 00:47:52.920	2026-09-19 01:02:12.463	14m 18s	4	8 GB	243.3 MB	4.5 GB	158.6%	0.3%	7 GB	2.9 GB
15	24/e43b78	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (47 genomes)	COMPLETED	0	2026-09-19 01:02:12.547	2026-09-19 01:02:12.565	2026-09-19 01:36:05.078	33m 51s	2	6 GB	4.9 GB	8.4 GB	133.9%	7.6%	983.2 GB	2.3 GB
14	70/f62449	BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	0	2026-09-19 01:02:12.541	2026-09-19 01:02:12.564	2026-09-19 01:38:38.440	36m 25s	2	6 GB	5 GB	8.2 GB	138.0%	8.2%	1.2 TB	2.5 GB
18	f2/7e5322	BGC_ANALYSIS:COUNT_REGIONS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:38:38.935	2026-09-19 01:38:38.942	2026-09-19 01:38:46.339	4.8s	1	2 GB	75.3 MB	79.2 MB	97.7%	0.1%	862.4 MB	13.4 KB
16	9d/1a0874	BGC_ANALYSIS:TABULATE_REGIONS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:38:38.853	2026-09-19 01:38:38.941	2026-09-19 01:38:46.337	4.8s	1	2 GB	75.6 MB	79.8 MB	98.2%	0.1%	862.4 MB	30.5 KB
19	fa/f7eaeb	BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	COMPLETED	0	2026-09-19 01:38:46.359	2026-09-19 01:38:46.437	2026-09-19 01:38:47.848	39ms	1	2 GB	3.4 MB	4.6 MB	115.7%	0.0%	1.1 MB	59.6 KB
17	09/02e124	BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:38:38.987	2026-09-19 01:38:39.041	2026-09-19 01:39:39.737	58.4s	8	32 GB	16 GB	37.6 GB	532.5%	28.2%	2.5 GB	73.4 MB
24	b9/aabaf8	BGC_ANALYSIS:CLUSTERING:CLUSTERING_STATS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:39.757	2026-09-19 01:39:39.837	2026-09-19 01:39:42.207	87ms	1	2 GB	15.6 MB	58.4 MB	82.8%	0.0%	1.1 MB	978 B
23	6d/c1e472	BGC_ANALYSIS:HEADGROUP_PREDICTION (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:39.813	2026-09-19 01:39:39.839	2026-09-19 01:39:44.749	2.3s	4	8 GB	81.8 MB	3.8 GB	131.5%	0.1%	36.5 MB	1.3 MB
25	3f/2fd2e7	BGC_ANALYSIS:COLLECT_VERSIONS (versions)	COMPLETED	0	2026-09-19 01:39:39.867	2026-09-19 01:39:39.942	2026-09-19 01:39:48.276	5.8s	1	2 GB	212.4 MB	2.5 GB	128.4%	0.3%	110.7 MB	2.9 KB
20	71/8a4315	BGC_ANALYSIS:GCF_ANNOTATION_TRANSFER (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:44.756	2026-09-19 01:39:44.849	2026-09-19 01:39:52.056	5.1s	4	8 GB	82.7 MB	3.7 GB	211.4%	0.2%	44.7 MB	8.3 MB
22	47/500bfd	BGC_ANALYSIS:CLUSTERING:EXTRACT_GCF_REPRESENTATIVES (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:39.828	2026-09-19 01:39:39.840	2026-09-19 01:39:54.132	11.4s	1	2 GB	158.7 MB	2.4 GB	106.4%	0.3%	1 GB	1 MB
27	38/905c46	BGC_ANALYSIS:CLUSTERING:BIGSCAPE_REFERENCES (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:54.138	2026-09-19 01:39:54.232	2026-09-19 01:40:08.849	12.6s	8	32 GB	15.8 GB	37.9 GB	235.3%	28.0%	2.5 GB	72.6 MB
21	4e/c15426	BGC_ANALYSIS:PEPM_ALL_BY_ALL (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:39.767	2026-09-19 01:39:39.838	2026-09-19 01:40:10.184	28.1s	4	8 GB	69.7 MB	2.2 GB	105.0%	0.1%	3.6 GB	3.9 MB
26	f2/18669a	BGC_ANALYSIS:GCF_BIOSYNTHETIC_TREE (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:39:39.855	2026-09-19 01:39:39.937	2026-09-19 01:40:37.303	54.8s	4	8 GB	104.3 MB	2.3 GB	107.2%	0.2%	5.1 GB	749 KB
28	0c/8d97f2	BGC_ANALYSIS:NOVELTY_SCORE (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:40:37.327	2026-09-19 01:40:37.403	2026-09-19 01:40:37.488	96ms	1	2 GB	17.4 MB	25.2 MB	99.4%	0.0%	3.4 MB	2.6 KB
29	81/c787b9	BGC_ANALYSIS:VISUALIZE_RESULTS (Bacteroides fragilis)	COMPLETED	0	2026-09-19 01:40:37.524	2026-09-19 01:40:37.589	2026-09-19 01:40:40.000	1.3s	4	8 GB	143 MB	2.4 GB	191.7%	0.2%	52.4 MB	3.4 MB
