genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Glycomyces_albus_JCM_31744	BAAHCP010000001.1.region001.gbk	35	35	0	phosphonate	phosphonate	15	14
Glycomyces_halotolerans_JCM_31484	BAAGXZ010000012.1.region001.gbk	26	26	0	phosphonate	phosphonate	9	12
Glycomyces_paridis_CPCC_204357	STGX01000001.1.region001.gbk	24	24	0	phosphonate	phosphonate	1	4
Glycomyces_salinus_YIM_93776	JAELXW010000128.1.region001.gbk	14	14	0	phosphonate	phosphonate	18	13
Glycomyces_sp._NRRL_B-16210	JOGR01000003.1.region001.gbk	20	20	0	phosphonate	phosphonate	1	4
Glycomyces_tenuis_DSM_44171	ATYW01000010.1.region001.gbk	26	26	0	phosphonate	phosphonate	6	6
Glycomyces_tenuis_NRRL_B-16895	KL571659.1.region001.gbk	27	27	0	phosphonate	phosphonate	6	6
Saccharothrix_algeriensis_DSM_44581	JAFBCL010000001.1.region001.gbk	24	24	0	phosphonate	phosphonate	3	7
Saccharothrix_algeriensis_NRRL_B-24137	CP072788.1.region001.gbk	25	25	0	phosphonate	phosphonate	3	7
Saccharothrix_ecbatanensis_DSM_45486	JACHMO010000001.1.region001.gbk	22	21	-1	phosphonate	phosphonate	13	17
Saccharothrix_luteola_NEAU-S10	JAJHUO010000034.1.region001.gbk	23	22	-1	phosphonate	phosphonate	5	1
Saccharothrix_luteola_NEAU-S10	JAJHUO010000055.1.region001.gbk	23	24	1	phosphonate	phosphonate	14	20
Saccharothrix_sp._NRRL_B-16314	JNXC01000014.1.region001.gbk	33	33	0	phosphonate	phosphonate	10	15
Saccharothrix_sp._NRRL_B-16348	LGED01000232.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	1
Saccharothrix_sp._ST-888	JYJF01000012.1.region001.gbk	31	31	0	phosphonate	phosphonate	11	16
Saccharothrix_syringae_NRRL_B-16468	JNYO01000020.1.region001.gbk	25	25	0	phosphonate	phosphonate	7	5
Saccharothrix_syringae_NRRL_B-16468_2	CP034550.1.region001.gbk	25	25	0	phosphonate	phosphonate	7	5
Streptomyces_griseus_NPDC020758	JBIRTF010000013.1.region001.gbk	23	23	0	phosphonate	phosphonate	17	10
Streptomyces_griseus_NPDC027195	JBVHRL010000024.1.region001.gbk	28	28	0	phosphonate	phosphonate	2	8
Streptomyces_griseus_NPDC042341	JBVJED010000027.1.region001.gbk	20	20	0	phosphonate	phosphonate	16	9
Streptomyces_griseus_subsp._griseus_NRRL_B-2621	JNZT01000001.1.region001.gbk	24	24	0	phosphonate	phosphonate	8	3
Streptomyces_griseus_subsp._griseus_NRRL_B-2621_2	JOEN01000003.1.region001.gbk	24	24	0	phosphonate	phosphonate	8	3
Streptomyces_griseus_subsp._griseus_NRRL_F-2227	JOIT01000020.1.region001.gbk	34	34	0	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._griseus_NRRL_F-5144	JOGA01000023.1.region001.gbk	39	39	0	phosphonate	phosphonate	19	11
Streptomyces_griseus_subsp._griseus_NRRL_WC-3645	JOJE01000025.1.region001.gbk	28	28	0	phosphonate	phosphonate	2	8
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-1691	JODO01000014.1.region001.gbk	32	32	0	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2929	LGUZ01000022.1.region001.gbk	32	32	0	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2930	JOFD01000017.1.region001.gbk	34	34	0	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2931	JOFE01000025.1.region001.gbk	31	31	0	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2932	JOFF01000019.1.region001.gbk	33	33	0	phosphonate	phosphonate	4	2
Streptomyces_hygroscopicus_HOK021	AP025668.1.region001.gbk	19	19	0	phosphonate	phosphonate	12	18
Streptomyces_hygroscopicus_subsp._hygroscopicus_NBRC_3401	BSSM01000001.1.region001.gbk	32	32	0	phosphonate	phosphonate	20	19
