genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Glycomyces_albus_JCM_31744	BAAHCP010000001.1.region001.gbk	27	35	8	phosphonate	phosphonate	9	14
Glycomyces_halotolerans_JCM_31484	BAAGXZ010000012.1.region001.gbk	19	26	7	phosphonate	phosphonate	11	12
Glycomyces_paridis_CPCC_204357	STGX01000001.1.region001.gbk	18	24	6	phosphonate	phosphonate	10	4
Glycomyces_salinus_YIM_93776	JAELXW010000128.1.region001.gbk	10	14	4	phosphonate	phosphonate	14	13
Glycomyces_sp._NRRL_B-16210	JOGR01000003.1.region001.gbk	13	20	7	phosphonate	phosphonate	16	4
Glycomyces_tenuis_DSM_44171	ATYW01000010.1.region001.gbk	17	26	9	phosphonate	phosphonate	3	6
Glycomyces_tenuis_NRRL_B-16895	KL571659.1.region001.gbk	19	27	8	phosphonate	phosphonate	3	6
Saccharothrix_algeriensis_DSM_44581	JAFBCL010000001.1.region001.gbk	16	24	8	phosphonate	phosphonate	5	7
Saccharothrix_algeriensis_NRRL_B-24137	CP072788.1.region001.gbk	16	25	9	phosphonate	phosphonate	5	7
Saccharothrix_ecbatanensis_DSM_45486	JACHMO010000001.1.region001.gbk	16	21	5	phosphonate	phosphonate	17	17
Saccharothrix_luteola_NEAU-S10	JAJHUO010000034.1.region001.gbk	19	22	3	phosphonate	phosphonate	8	1
Saccharothrix_luteola_NEAU-S10	JAJHUO010000055.1.region001.gbk	13	24	11	phosphonate	phosphonate	20	20
Saccharothrix_sp._NRRL_B-16314	JNXC01000014.1.region001.gbk	27	33	6	phosphonate	phosphonate	19	15
Saccharothrix_sp._NRRL_B-16348	LGED01000232.1.region001.gbk	17	25	8	phosphonate	phosphonate	8	1
Saccharothrix_sp._ST-888	JYJF01000012.1.region001.gbk	20	31	11	phosphonate	phosphonate	12	16
Saccharothrix_syringae_NRRL_B-16468	JNYO01000020.1.region001.gbk	15	25	10	phosphonate	phosphonate	7	5
Saccharothrix_syringae_NRRL_B-16468_2	CP034550.1.region001.gbk	15	25	10	phosphonate	phosphonate	7	5
Streptomyces_griseus_NPDC020758	JBIRTF010000013.1.region001.gbk	13	23	10	phosphonate	phosphonate	1	10
Streptomyces_griseus_NPDC027195	JBVHRL010000024.1.region001.gbk	21	28	7	phosphonate	phosphonate	2	8
Streptomyces_griseus_NPDC042341	JBVJED010000027.1.region001.gbk	13	20	7	phosphonate	phosphonate	1	9
Streptomyces_griseus_subsp._griseus_NRRL_B-2621	JNZT01000001.1.region001.gbk	14	24	10	phosphonate	phosphonate	6	3
Streptomyces_griseus_subsp._griseus_NRRL_B-2621_2	JOEN01000003.1.region001.gbk	14	24	10	phosphonate	phosphonate	6	3
Streptomyces_griseus_subsp._griseus_NRRL_F-2227	JOIT01000020.1.region001.gbk	25	34	9	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._griseus_NRRL_F-5144	JOGA01000023.1.region001.gbk	29	39	10	phosphonate	phosphonate	15	11
Streptomyces_griseus_subsp._griseus_NRRL_WC-3645	JOJE01000025.1.region001.gbk	21	28	7	phosphonate	phosphonate	2	8
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-1691	JODO01000014.1.region001.gbk	22	32	10	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2929	LGUZ01000022.1.region001.gbk	22	32	10	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2930	JOFD01000017.1.region001.gbk	23	34	11	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2931	JOFE01000025.1.region001.gbk	21	31	10	phosphonate	phosphonate	4	2
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2932	JOFF01000019.1.region001.gbk	22	33	11	phosphonate	phosphonate	4	2
Streptomyces_hygroscopicus_HOK021	AP025668.1.region001.gbk	12	19	7	phosphonate	phosphonate	13	18
Streptomyces_hygroscopicus_subsp._hygroscopicus_NBRC_3401	BSSM01000001.1.region001.gbk	24	32	8	phosphonate	phosphonate	18	19
