clade	region	gain
pantoea10kb	Pantoea_ananatis_02-12/JALKJI010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_02-12/JALKJI010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_02-12_2/JALKLJ010000005.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_03-1/JALKLK010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_05-1/JALKLM010000007.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_06-1/JALKJH010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_06-4/JALKLY010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_07-1/JALKLN010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_07-10/JALKLO010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_07-13/JALKJP010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_07-14/JALKKT010000005.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_07-7/JALKJQ010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_08-1/JALKKU010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_1-2/JALKKR010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_1-5/JALKKL010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_1-6/JALKKM010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_117T1/JBSPZY010000001.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_117T1/JBSPZY010000003.1.region001.gbk	4
pantoea10kb	Pantoea_ananatis_13-1/JALKIW010000013.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_13.3/JAUHJW010000002.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_141/CM135103.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_15-1/JALKKP010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_18-1/JALKJR010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_18-2/JALKKQ010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_18-3S/JALKJS010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_18-5/JALKJT010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_18-5S/JALKJU010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_18-7S/JALKKZ010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_19-13/JALKKK010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_19-20/JALKIQ010000056.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_19-8/JALKJD010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-1/JALKKS010000005.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-1/JALKKS010000009.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-5/JALKKJ010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-5/JALKKJ010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-6/JALKLQ010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-7/JALKLR010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-7/JALKLR010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-8/JALKJK010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_2-8/JALKJK010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_200-10/JALKJW010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_200-11/JALKJX010000006.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_200-12/JALKJY010000008.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_200-2/JALKKN010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_200-2/JALKKN010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_200-7/JALKJZ010000005.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_20NY0427/JBQOUP010000011.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_20NY0487/JBQOUQ010000003.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_20PA0260/JBQOUR010000003.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_20TX0087/JAKZMT010000004.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_20WA0254/JBQOUT010000004.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_26SR6/JXUJ01000033.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_31npA-Arg1/CM152815.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_4-1/JALKJF010000007.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_4-2/JALKIU010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_4-2/JALKIU010000007.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_4.2/JAUHJV010000003.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_92-7/JALKKA010000005.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_97-11/JALKLS010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_97-2/JALKKI010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_97-3/JALKKY010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_98-1/JALKLT010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_98-11/JALKKB010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_98-12/JALKKC010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_98-2/JALKKD010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_98-7/JALKKX010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_98-8/JALKKE010000006.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-1/JALKKF010000005.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-10/JALKIR010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-11/JALKMA010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-11/JALKMA010000009.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-12/JALKLZ010000006.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-12/JALKLZ010000016.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-14/JALKLU010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-14_2/JALKMB010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-18/JALKJJ010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-2/JALKLV010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-25/JALKLC010000006.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-27/JALKLD010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-29/JALKLE010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-3/JALKLP010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-31/JALKLF010000010.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-31/JALKLF010000062.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-32/JALKLG010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-33/JALKJN010000004.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-4/JALKJO010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-6/JALKKG010000002.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-7/JALKLW010000001.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-8/JALKKH010000003.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_99-9_2/JALKLX010000012.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_AJ13355/AP012032.2.region001.gbk	8
pantoea10kb	Pantoea_ananatis_ATCC_35400/JARNMU010000002.1.region001.gbk	1
pantoea10kb	Pantoea_ananatis_B1-9/CAEI01000109.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_B1-9_2/CAEJ01000136.1.region001.gbk	0
pantoea10kb	Pantoea_ananatis_B13/JAUHJU010000015.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_B7/LYOQ01000033.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_BAV3096/JASHLP010000001.1.region001.gbk	3
pantoea10kb	Pantoea_ananatis_BAV3096/JASHLP010000011.1.region001.gbk	2
pantoea10kb	Pantoea_ananatis_BAV3127/JASHLO010000001.1.region001.gbk	2
