genome	mode	cds_per_mb	best_bitscore	pass	bgc_positive	regions
Bacteroides_fragilis_078320-1	blastp	780	565.0	yes	yes	1
Bacteroides_fragilis_1284	blastp	796	514.0	yes	yes	1
Bacteroides_fragilis_14-106904-1	blastp	657	565.0	yes	yes	1
Bacteroides_fragilis_638R	blastp	799	515.0	yes	yes	1
Bacteroides_fragilis_638R-erm-GA1tetQ-6	blastp	799	515.0	yes	yes	1
Bacteroides_fragilis_86-5443-2-2	blastp	803	565.0	yes	yes	2
Bacteroides_fragilis_AM115-21	blastx	0	515.0	yes	yes	1
Bacteroides_fragilis_AM115-33	blastx	0	515.0	yes	yes	1
Bacteroides_fragilis_ATCC_43858	blastp	790	565.0	yes	yes	2
Bacteroides_fragilis_BA00000060	blastp	801	0.0	no	no	0
Bacteroides_fragilis_BA00000061	blastp	801	0.0	no	no	0
Bacteroides_fragilis_BA00000062	blastp	802	0.0	no	no	0
Bacteroides_fragilis_BA00000066	blastp	781	515.0	yes	yes	1
Bacteroides_fragilis_BA00000068	blastp	795	0.0	no	no	0
Bacteroides_fragilis_BA00000080	blastp	792	565.0	yes	yes	2
Bacteroides_fragilis_BA00000083	blastp	804	565.0	yes	yes	2
Bacteroides_fragilis_BA00000091	blastp	796	565.0	yes	yes	2
Bacteroides_fragilis_BA00000097	blastp	796	565.0	yes	yes	2
Bacteroides_fragilis_BA00000099	blastp	791	0.0	no	no	0
Bacteroides_fragilis_BA00000100	blastp	796	515.0	yes	yes	2
Bacteroides_fragilis_BA00000103	blastp	793	515.0	yes	yes	2
Bacteroides_fragilis_BA00000107	blastp	787	565.0	yes	yes	2
Bacteroides_fragilis_BA00000113	blastp	784	72.0	no	no	0
Bacteroides_fragilis_BA00000415	blastp	793	565.0	yes	yes	1
Bacteroides_fragilis_BA00000419	blastp	787	515.0	yes	yes	1
Bacteroides_fragilis_BA00000438	blastp	797	0.0	no	no	0
Bacteroides_fragilis_BA00000442	blastp	798	0.0	no	no	0
Bacteroides_fragilis_BA00000448	blastp	785	0.0	no	no	0
Bacteroides_fragilis_BA00000449	blastp	811	72.0	no	no	0
Bacteroides_fragilis_BA00000453	blastp	796	515.0	yes	yes	2
Bacteroides_fragilis_BA00000457	blastp	802	0.0	no	no	0
Bacteroides_fragilis_BA00000460	blastp	803	565.0	yes	yes	1
Bacteroides_fragilis_BA00000461	blastp	796	515.0	yes	yes	1
Bacteroides_fragilis_BA00000462	blastp	797	515.0	yes	yes	2
Bacteroides_fragilis_BA00000463	blastp	791	0.0	no	no	0
Bacteroides_fragilis_BA00000469	blastp	786	517.0	yes	yes	2
Bacteroides_fragilis_BA00000471	blastp	782	516.0	yes	yes	1
Bacteroides_fragilis_BA00000472	blastp	788	515.0	yes	yes	2
Bacteroides_fragilis_BA00000473	blastp	806	565.0	yes	yes	3
Bacteroides_fragilis_BA00000474	blastp	782	516.0	yes	yes	1
Bacteroides_fragilis_BA00000475	blastp	785	514.0	yes	yes	1
Bacteroides_fragilis_BA00000771	blastp	802	565.0	yes	yes	2
Bacteroides_fragilis_BA00000773	blastp	786	565.0	yes	yes	1
Bacteroides_fragilis_BA00000781	blastp	797	0.0	no	no	0
Bacteroides_fragilis_BA00000784	blastp	799	515.0	yes	yes	2
Bacteroides_fragilis_BA00000785	blastp	796	0.0	no	no	0
Bacteroides_fragilis_BA00000786	blastp	794	514.0	yes	yes	2
Bacteroides_fragilis_BA00000787	blastp	796	560.0	yes	yes	1
Bacteroides_fragilis_BA00000788	blastp	792	0.0	no	no	0
Bacteroides_fragilis_BA00000789	blastp	789	516.0	yes	yes	1
Bacteroides_fragilis_BA00000791	blastp	781	514.0	yes	yes	1
Bacteroides_fragilis_BA00000793	blastp	783	514.0	yes	yes	2
Bacteroides_fragilis_BA00000799	blastp	783	0.0	no	no	0
Bacteroides_fragilis_BA00001135	blastp	799	0.0	no	no	0
Bacteroides_fragilis_BA00001138	blastp	786	515.0	yes	yes	1
Bacteroides_fragilis_BA00001140	blastp	788	565.0	yes	yes	2
Bacteroides_fragilis_BA00001143	blastp	790	516.0	yes	yes	1
Bacteroides_fragilis_BA00001145	blastp	792	565.0	yes	yes	3
Bacteroides_fragilis_BE1	blastp	813	565.0	yes	yes	2
Bacteroides_fragilis_BFG-1	blastp	781	560.0	yes	yes	3
Bacteroides_fragilis_BFG-13	blastp	797	560.0	yes	yes	1
Bacteroides_fragilis_BFG-14	blastp	790	515.0	yes	yes	1
Bacteroides_fragilis_BFG-16	blastp	779	565.0	yes	yes	3
Bacteroides_fragilis_BFG-167	blastp	780	0.0	no	no	0
Bacteroides_fragilis_BFG-17	blastp	797	515.0	yes	yes	1
Bacteroides_fragilis_BFG-18	blastp	799	515.0	yes	yes	1
Bacteroides_fragilis_BFG-23	blastp	789	0.0	no	no	0
Bacteroides_fragilis_BFG-310	blastp	745	0.0	no	no	0
Bacteroides_fragilis_BFG-317	blastp	777	0.0	no	no	0
Bacteroides_fragilis_BFG-403	blastp	810	565.0	yes	yes	3
Bacteroides_fragilis_BFG-435	blastp	718	515.0	yes	yes	1
Bacteroides_fragilis_BFG-448	blastp	763	0.0	no	yes	1
Bacteroides_fragilis_BFG-450	blastp	528	0.0	no	no	0
Bacteroides_fragilis_BFG-480	blastp	798	44.3	no	no	0
Bacteroides_fragilis_BFG-481	blastp	768	514.0	yes	yes	1
Bacteroides_fragilis_BFG-49	blastp	792	515.0	yes	yes	1
Bacteroides_fragilis_BFG-492	blastp	586	0.0	no	no	0
Bacteroides_fragilis_BFG-502	blastp	795	565.0	yes	yes	2
Bacteroides_fragilis_BFG-504	blastp	652	514.0	yes	yes	2
Bacteroides_fragilis_BFG-506	blastp	758	0.0	no	no	0
Bacteroides_fragilis_BFG-509	blastp	685	563.0	yes	yes	3
Bacteroides_fragilis_BFG-518	blastp	666	0.0	no	no	0
