gcf	members	biosynthetic_domains	core	tailoring	lipid	transport	domains	nearest_gcf	nearest_similarity	differing_domains	verdict
1	4	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	1.000		chemically indistinguishable from GCF 20 — split is not biosynthetic
3	3	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	1.000		chemically indistinguishable from GCF 20 — split is not biosynthetic
5	3	8	2	5	0	1	PF00266(Aminotran_5);PF00483(NTP_transferase);PF00535(Glycos_transf_2);PF00892(EamA);PF01370(Epimerase);PF02775(TPP_enzyme_C);PF12804(NTP_transf_3);PF13714(PEP_mutase)	6	0.636		
2	2	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	1.000		chemically indistinguishable from GCF 20 — split is not biosynthetic
4	2	10	3	6	0	1	PF00296(Bac_luciferase);PF00330(Aconitase);PF00682(HMGL-like);PF00694(Aconitase_C);PF07690(MFS_1);PF13508(Acetyltransf_7);PF13535(ATP-grasp_4);PF13649(Methyltransf_25);PF13714(PEP_mutase);PF22617(HCS_D2)	23	1.000		chemically indistinguishable from GCF 23 — split is not biosynthetic
6	2	10	3	7	0	0	PF00266(Aminotran_5);PF00483(NTP_transferase);PF00534(Glycos_transf_1);PF00535(Glycos_transf_2);PF01370(Epimerase);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF12804(NTP_transf_3);PF13649(Methyltransf_25);PF13714(PEP_mutase)	5	0.636		
7	1	9	4	3	0	2	PF00155(Aminotran_1_2);PF00202(Aminotran_3);PF00892(EamA);PF02655(ATP-grasp_3);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF13649(Methyltransf_25);PF13714(PEP_mutase)	24	0.545		
8	1	9	4	4	0	1	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF08241(Methyltransf_11);PF13535(ATP-grasp_4);PF13561(adh_short_C2);PF13714(PEP_mutase)	36	1.000		chemically indistinguishable from GCF 36 — split is not biosynthetic
9	1	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	1.000		chemically indistinguishable from GCF 20 — split is not biosynthetic
10	1	8	4	3	1	0	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00483(NTP_transferase);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13535(ATP-grasp_4);PF13714(PEP_mutase)	32	0.889		
11	1	6	3	2	0	1	PF00005(ABC_tran);PF00550(PP-binding);PF00583(Acetyltransf_1);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	0.667		
12	1	15	6	7	0	2	PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00465(Fe-ADH);PF00535(Glycos_transf_2);PF00682(HMGL-like);PF01613(Flavin_Reduct);PF01810(LysE);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	13	0.733		
13	1	11	3	6	0	2	PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00465(Fe-ADH);PF01613(Flavin_Reduct);PF01810(LysE);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	19	0.833		
14	1	9	4	4	1	0	PF00155(Aminotran_1_2);PF00293(NUDIX);PF01066(CDP-OH_P_transf);PF01370(Epimerase);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF02826(2-Hacid_dh_C);PF13649(Methyltransf_25);PF13714(PEP_mutase)	24	0.417		
15	1	8	3	4	0	1	PF00550(PP-binding);PF00733(Asn_synthase);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF03756(AfsA);PF07690(MFS_1);PF13522(GATase_6);PF13714(PEP_mutase)	21	0.444		
16	1	6	3	3	0	0	PF00202(Aminotran_3);PF00550(PP-binding);PF00682(HMGL-like);PF08242(Methyltransf_12);PF13714(PEP_mutase);PF22617(HCS_D2)	39	0.429		
17	1	10	3	5	1	1	PF00266(Aminotran_5);PF00296(Bac_luciferase);PF00550(PP-binding);PF00583(Acetyltransf_1);PF00975(Thioesterase);PF01370(Epimerase);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF13714(PEP_mutase)	11	0.455		
18	1	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	1.000		chemically indistinguishable from GCF 20 — split is not biosynthetic
19	1	11	3	6	0	2	PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00293(NUDIX);PF00465(Fe-ADH);PF01810(LysE);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	13	0.833		
20	1	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	18	1.000		chemically indistinguishable from GCF 18 — split is not biosynthetic
21	1	5	3	0	0	2	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF13714(PEP_mutase)	34	0.833		
22	1	11	3	7	0	1	PF00296(Bac_luciferase);PF00330(Aconitase);PF00682(HMGL-like);PF00694(Aconitase_C);PF01613(Flavin_Reduct);PF07690(MFS_1);PF13535(ATP-grasp_4);PF13649(Methyltransf_25);PF13673(Acetyltransf_10);PF13714(PEP_mutase);PF22617(HCS_D2)	23	0.750		
23	1	10	3	6	0	1	PF00296(Bac_luciferase);PF00330(Aconitase);PF00682(HMGL-like);PF00694(Aconitase_C);PF07690(MFS_1);PF13508(Acetyltransf_7);PF13535(ATP-grasp_4);PF13649(Methyltransf_25);PF13714(PEP_mutase);PF22617(HCS_D2)	4	1.000		chemically indistinguishable from GCF 4 — split is not biosynthetic
24	1	8	6	1	0	1	PF00155(Aminotran_1_2);PF00465(Fe-ADH);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF13649(Methyltransf_25);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	7	0.545		
25	1	9	3	4	1	1	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00483(NTP_transferase);PF01066(CDP-OH_P_transf);PF02776(TPP_enzyme_N);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF13535(ATP-grasp_4);PF13714(PEP_mutase)	32	0.800		
26	1	10	3	6	0	1	PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00266(Aminotran_5);PF00465(Fe-ADH);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	19	0.750		
27	1	8	3	4	0	1	PF00202(Aminotran_3);PF00465(Fe-ADH);PF01810(LysE);PF02826(2-Hacid_dh_C);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	35	1.000		chemically indistinguishable from GCF 35 — split is not biosynthetic
28	1	13	4	5	1	3	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00551(Formyl_trans_N);PF00593(TonB_dep_Rec);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF07715(Plug);PF12804(NTP_transf_3);PF13535(ATP-grasp_4);PF13561(adh_short_C2);PF13714(PEP_mutase)	36	0.571		
29	1	6	3	0	0	3	PF00005(ABC_tran);PF01810(LysE);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF13714(PEP_mutase)	31	0.833		
30	1	14	3	5	0	6	PF00005(ABC_tran);PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00465(Fe-ADH);PF00593(TonB_dep_Rec);PF01032(FecCD);PF01810(LysE);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF07715(Plug);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	19	0.667		
31	1	5	3	0	0	2	PF00005(ABC_tran);PF01810(LysE);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	29	0.833		
32	1	9	4	3	1	1	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00483(NTP_transferase);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF13535(ATP-grasp_4);PF13714(PEP_mutase)	10	0.889		
33	1	5	3	1	0	1	PF00005(ABC_tran);PF00266(Aminotran_5);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	20	0.800		
