reference	genome	region	family_id	distance	jaccard	adjacency	dss
argolaphos	Pantoea_ananatis_4-1	JALKJF010000007.1.region001		0.8386	0.3333	0.25	0.1097
argolaphos	Pantoea_ananatis_PA13	CP003085.1.region002	3	0.8886	0.2308	0.1667	0.0759
argolaphos	Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001	2	0.9202	0.1667	0.0	0.062
argolaphos	Pantoea_ananatis_LMG_5342	HE617160.1.region002	4	0.9276	0.1429	0.0	0.0585
argolaphos	Pantoea_allii_21GA0582	JBNUMG010000005.1.region001		0.9278	0.2	0.1111	0.0356
argolaphos	Pantoea_agglomerans_20GA0400	JBBJRX010000008.1.region001	3	0.9298	0.1429	0.0	0.0556
argolaphos	Pantoea_agglomerans_20TX0122	JAKZMS010000010.1.region001	4	0.9298	0.1429	0.0	0.0556
argolaphos	Pantoea_ananatis_20NY0487	JBQOUQ010000003.1.region001	3	0.9316	0.1429	0.0	0.0531
argolaphos	Pantoea_ananatis_99-7	JALKLW010000001.1.region001		0.9316	0.1429	0.0	0.0531
argolaphos	Pantoea_allii_LMG_24248_2	NTMH01000040.1.region001	3	0.9344	0.1818	0.1	0.0323
argolaphos	Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001	3	0.9475	0.1	0.0	0.0433
argolaphos	Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001	1	0.9547	0.1	0.0	0.0338
argolaphos	Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001	3	0.9565	0.0909	0.0	0.0338
argolaphos	Pantoea_ananatis_LMG_5342	HE617160.1.region001	3	0.9565	0.0909	0.0	0.0338
argolaphos	Pantoea_ananatis_PA13	CP003085.1.region001	3	0.9565	0.0909	0.0	0.0338
argolaphos	Pantoea_ananatis_PP105	JBYHZO010000002.1.region002	4	0.9565	0.0909	0.0	0.0338
argolaphos	Pantoea_ananatis_PP105	JBYHZO010000002.1.region001	3	0.9624	0.0769	0.0	0.0296
argolaphos	Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001	5	0.9624	0.0769	0.0	0.0296
argolaphos	Pantoea_ananatis_98-2	JALKKD010000002.1.region001	3	0.9632	0.0769	0.0	0.0286
argolaphos	Pantoea_agglomerans_C-376	JCAKJO010000002.1.region001	3	0.9635	0.0769	0.0	0.0282
bialaphos	Pantoea_ananatis_4-1	JALKJF010000007.1.region001		0.8218	0.375	0.25	0.1209
bialaphos	Pantoea_ananatis_PA13	CP003085.1.region002	3	0.884	0.25	0.1538	0.0777
bialaphos	Pantoea_agglomerans_C-376	JCAKJO010000002.1.region001	3	0.9242	0.1667	0.0833	0.0511
bialaphos	Pantoea_allii_21GA0582	JBNUMG010000005.1.region001		0.9522	0.1333	0.0714	0.0234
bialaphos	Pantoea_allii_LMG_24248_2	NTMH01000040.1.region001	3	0.9552	0.125	0.0667	0.0219
bialaphos	Pantoea_ananatis_LMG_5342	HE617160.1.region002	4	0.9586	0.0769	0.0	0.0346
