file	record_id	record_index	region	region_name	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	KCB_top_hit	KCB_top_acc	KCB_top_sim	record_desc
Bacteroides_fragilis_RSZYD15090289_A	OZ544627	1	1	1.1	4112646	4136206	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain RSZYD15090289_A genome assembly, chromosome: 1
Bacteroides_fragilis_BFG-481	CP103158	1	1	1.1	3183984	3208270	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	66	Bacteroides fragilis strain BFG-481 chromosome, complete genome
Bacteroides_fragilis_BA00000107	CM174530	1	1	1.1	2575329	2599624	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	40	Bacteroides fragilis strain BA00000107 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000107	CM174530	1	2	1.2	3454100	3477660	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain BA00000107 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_AM115-21	OZ542939	1	1	1.1	3227424	3251689	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	66	Bacteroides fragilis strain AM115-21 genome assembly, chromosome: 1
Bacteroides_fragilis_BA00000473	CM173565	1	1	1.1	1812946	1846810	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	30	Bacteroides fragilis strain BA00000473 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000473	CM173565	1	2	1.2	3507556	3531116	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain BA00000473 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000473	CM173565	1	3	1.3	4380301	4404587	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	66	Bacteroides fragilis strain BA00000473 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BFG-525	CP103089	1	1	1.1	76271	101355	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	26	Bacteroides fragilis strain BFG-525 chromosome, complete genome
Bacteroides_fragilis_BFG-525	CP103089	1	2	1.2	3820509	3844069	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain BFG-525 chromosome, complete genome
Bacteroides_fragilis_BFG-16	CP103087	1	1	1.1	76268	101348	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	26	Bacteroides fragilis strain BFG-16 chromosome, complete genome
Bacteroides_fragilis_BFG-16	CP103087	1	2	1.2	2934053	2957865	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	40	Bacteroides fragilis strain BFG-16 chromosome, complete genome
Bacteroides_fragilis_BFG-16	CP103087	1	3	1.3	3744666	3768226	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain BFG-16 chromosome, complete genome
Bacteroides_fragilis_BFG-57	CP103188	1	1	1.1	2658680	2697280	False	phosphonate	polysaccharide A	BGC0001410.3	medium	polysaccharide A	BGC0001410.3	60	Bacteroides fragilis strain BFG-57 chromosome, complete genome
Bacteroides_fragilis_BFG-584	CP103110	1	1	1.1	3022945	3047231	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	66	Bacteroides fragilis strain BFG-584 chromosome, complete genome
Bacteroides_fragilis_BA00000453	CM173572	1	1	1.1	2466347	2502980	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	23	Bacteroides fragilis strain BA00000453 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000453	CM173572	1	2	1.2	2988343	3016128	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	50	Bacteroides fragilis strain BA00000453 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BFG-17	CP103085	1	1	1.1	3029301	3057086	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	50	Bacteroides fragilis strain BFG-17 chromosome, complete genome
Bacteroides_fragilis_BA00000103	CM173581	1	1	1.1	63050	104977	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	33	Bacteroides fragilis strain BA00000103 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000103	CM173581	1	2	1.2	3133101	3157387	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	50	Bacteroides fragilis strain BA00000103 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BFG-536	CP103264	1	1	1.1	4096173	4121333	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain BFG-536 chromosome, complete genome
Bacteroides_fragilis_FDAARGOS_1512	CP083623	1	1	1.1	4065173	4089459	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	66	Bacteroides fragilis strain FDAARGOS_1512 chromosome, complete genome
Bacteroides_fragilis_BE1	LN877293	1	1	1.1	2125373	2149647	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	40	Bacteroides fragilis genome assembly BFBE1.1, chromosome : scaffold1
Bacteroides_fragilis_BE1	LN877293	1	2	1.2	2940440	2964000	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis genome assembly BFBE1.1, chromosome : scaffold1
Bacteroides_fragilis_BA00000787	CM173557	1	1	1.1	3890129	3919224	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	23	Bacteroides fragilis strain BA00000787 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000460	CM173570	1	1	1.1	3394275	3417835	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain BA00000460 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000066	CM174533	1	1	1.1	2835918	2863483	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	43	Bacteroides fragilis strain BA00000066 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_OB_EAV1_11_D6_FAA	CP117955	1	1	1.1	987613	1015347	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	36	Bacteroides fragilis strain OB EAV1 11 D6 FAA chromosome, complete genome
Bacteroides_fragilis_BA00000462	CM173569	1	1	1.1	2554547	2591182	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	23	Bacteroides fragilis strain BA00000462 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_BA00000462	CM173569	1	2	1.2	3024412	3052197	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	50	Bacteroides fragilis strain BA00000462 chromosome, complete sequence, whole genome shotgun sequence
Bacteroides_fragilis_RSZYD15090270_A	OZ544622	1	1	1.1	4112646	4136206	False	phosphonate				polysaccharide B	BGC0001411.3	13	Bacteroides fragilis strain RSZYD15090270_A genome assembly, chromosome: 1
Bacteroides_fragilis_BFG-49	CP103070	1	1	1.1	3095748	3120034	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	53	Bacteroides fragilis strain BFG-49 chromosome, complete genome
Bacteroides_fragilis_BFG-79	CP103235	1	1	1.1	2658664	2697262	False	phosphonate	polysaccharide A	BGC0001410.3	medium	polysaccharide A	BGC0001410.3	60	Bacteroides fragilis strain BFG-79 chromosome, complete genome
Bacteroides_fragilis_BFG-89	CP103088	1	1	1.1	2961769	2989524	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	36	Bacteroides fragilis strain BFG-89 chromosome, complete genome
Bacteroides_fragilis_YCH46	AP006841	1	1	1.1	2146181	2170467	False	phosphonate	polysaccharide B	BGC0001411.3	medium	polysaccharide B	BGC0001411.3	66	Bacteroides fragilis YCH46 DNA, complete genome
Bacteroides_fragilis_YCH46	AP006841	1	2	1.2	2950292	2979387	False	phosphonate	polysaccharide B	BGC0001411.3	low	polysaccharide B	BGC0001411.3	23	Bacteroides fragilis YCH46 DNA, complete genome
