genome	mode	cds_per_mb	best_bitscore	pass	bgc_positive	regions
Bacteroides_fragilis_078320-1	blastp	783	565.0	yes	yes	1
Bacteroides_fragilis_1284	blastp	798	514.0	yes	yes	1
Bacteroides_fragilis_14-106904-1	blastp	823	565.0	yes	yes	1
Bacteroides_fragilis_638R	blastp	805	515.0	yes	yes	1
Bacteroides_fragilis_638R-erm-GA1tetQ-6	blastp	803	515.0	yes	yes	1
Bacteroides_fragilis_86-5443-2-2	blastp	814	565.0	yes	yes	2
Bacteroides_fragilis_AM115-21	blastx	0	515.0	yes	yes	1
Bacteroides_fragilis_AM115-33	blastx	0	515.0	yes	yes	1
Bacteroides_fragilis_ATCC_43858	blastp	803	565.0	yes	yes	2
Bacteroides_fragilis_BA00000060	blastp	818	0.0	no	no	0
Bacteroides_fragilis_BA00000061	blastp	816	0.0	no	no	0
Bacteroides_fragilis_BA00000062	blastp	816	0.0	no	no	0
Bacteroides_fragilis_BA00000066	blastp	796	515.0	yes	yes	1
Bacteroides_fragilis_BA00000068	blastp	809	0.0	no	no	0
Bacteroides_fragilis_BA00000080	blastp	808	565.0	yes	yes	2
Bacteroides_fragilis_BA00000083	blastp	823	565.0	yes	yes	2
Bacteroides_fragilis_BA00000091	blastp	810	565.0	yes	yes	2
Bacteroides_fragilis_BA00000097	blastp	809	565.0	yes	yes	2
Bacteroides_fragilis_BA00000099	blastp	808	0.0	no	no	0
Bacteroides_fragilis_BA00000100	blastp	810	515.0	yes	yes	2
Bacteroides_fragilis_BA00000103	blastp	807	515.0	yes	yes	2
Bacteroides_fragilis_BA00000107	blastp	799	565.0	yes	yes	2
Bacteroides_fragilis_BA00000113	blastp	799	72.0	no	no	0
Bacteroides_fragilis_BA00000415	blastp	812	565.0	yes	yes	1
Bacteroides_fragilis_BA00000419	blastp	804	515.0	yes	yes	1
Bacteroides_fragilis_BA00000438	blastp	813	0.0	no	no	0
Bacteroides_fragilis_BA00000442	blastp	816	0.0	no	no	0
Bacteroides_fragilis_BA00000448	blastp	805	0.0	no	no	0
Bacteroides_fragilis_BA00000449	blastp	827	72.0	no	no	0
Bacteroides_fragilis_BA00000453	blastp	809	515.0	yes	yes	2
Bacteroides_fragilis_BA00000457	blastp	820	0.0	no	no	0
Bacteroides_fragilis_BA00000460	blastp	819	565.0	yes	yes	1
Bacteroides_fragilis_BA00000461	blastp	808	515.0	yes	yes	1
Bacteroides_fragilis_BA00000462	blastp	817	515.0	yes	yes	2
Bacteroides_fragilis_BA00000463	blastp	801	0.0	no	no	0
Bacteroides_fragilis_BA00000469	blastp	799	517.0	yes	yes	2
Bacteroides_fragilis_BA00000471	blastp	800	516.0	yes	yes	1
Bacteroides_fragilis_BA00000472	blastp	802	515.0	yes	yes	2
Bacteroides_fragilis_BA00000473	blastp	823	565.0	yes	yes	3
Bacteroides_fragilis_BA00000474	blastp	798	516.0	yes	yes	1
Bacteroides_fragilis_BA00000475	blastp	801	514.0	yes	yes	1
Bacteroides_fragilis_BA00000771	blastp	821	565.0	yes	yes	2
Bacteroides_fragilis_BA00000773	blastp	803	565.0	yes	yes	1
Bacteroides_fragilis_BA00000781	blastp	812	0.0	no	no	0
Bacteroides_fragilis_BA00000784	blastp	813	515.0	yes	yes	2
Bacteroides_fragilis_BA00000785	blastp	813	0.0	no	no	0
Bacteroides_fragilis_BA00000786	blastp	810	514.0	yes	yes	2
Bacteroides_fragilis_BA00000787	blastp	809	560.0	yes	yes	1
Bacteroides_fragilis_BA00000788	blastp	811	0.0	no	no	0
Bacteroides_fragilis_BA00000789	blastp	807	516.0	yes	yes	1
Bacteroides_fragilis_BA00000791	blastp	793	514.0	yes	yes	1
Bacteroides_fragilis_BA00000793	blastp	794	514.0	yes	yes	2
Bacteroides_fragilis_BA00000799	blastp	797	0.0	no	no	0
Bacteroides_fragilis_BA00001135	blastp	819	0.0	no	no	0
Bacteroides_fragilis_BA00001138	blastp	802	515.0	yes	yes	1
Bacteroides_fragilis_BA00001140	blastp	804	565.0	yes	yes	2
Bacteroides_fragilis_BA00001143	blastp	806	516.0	yes	yes	1
Bacteroides_fragilis_BA00001145	blastp	811	565.0	yes	yes	3
Bacteroides_fragilis_BE1	blastp	813	565.0	yes	yes	2
Bacteroides_fragilis_BFG-1	blastp	799	560.0	yes	yes	3
Bacteroides_fragilis_BFG-13	blastp	813	560.0	yes	yes	1
Bacteroides_fragilis_BFG-14	blastp	803	515.0	yes	yes	1
Bacteroides_fragilis_BFG-16	blastp	799	565.0	yes	yes	3
Bacteroides_fragilis_BFG-167	blastp	833	0.0	no	no	0
Bacteroides_fragilis_BFG-17	blastp	810	515.0	yes	yes	1
Bacteroides_fragilis_BFG-18	blastp	812	515.0	yes	yes	1
Bacteroides_fragilis_BFG-23	blastp	809	0.0	no	no	0
Bacteroides_fragilis_BFG-310	blastp	811	0.0	no	no	0
Bacteroides_fragilis_BFG-317	blastp	821	0.0	no	no	0
