query	distance_contig_edge_false	distance_contig_edge_true
Pantoea_ananatis_PANS_99_31/JABDZL010000010.1.region001.gbk	0.0	0.0
Pantoea_ananatis_BAV3096/JASHLP010000011.1.region001.gbk	0.0	0.0
Pantoea_agglomerans_20GA0400/JBBJRX010000008.1.region001.gbk	0.199	0.199
Pantoea_ananatis_PNA_07_1/JABDZX010000003.1.region001.gbk	0.364	0.0
Pantoea_ananatis_PA13/CP003085.1.region001.gbk	0.364	0.0
Pantoea_ananatis_LMG_5342/HE617160.1.region001.gbk	0.3643	0.0004
Pantoea_ananatis_20NY0487/JBQOUQ010000003.1.region001.gbk	0.3643	0.0004
Pantoea_ananatis_PP105/JBYHZO010000002.1.region002.gbk	0.3646	0.0009
Pantoea_ananatis_99-7/JALKLW010000001.1.region001.gbk	0.3646	0.0009
Pantoea_ananatis_98-2/JALKKD010000002.1.region001.gbk	0.6742	0.0
Pantoea_agglomerans_20TX0122/JAKZMS010000010.1.region001.gbk	0.6923	0.199
Pantoea_ananatis_4-1/JALKJF010000007.1.region001.gbk	0.9458	0.9458
Pantoea_agglomerans_C-376/JCAKJO010000002.1.region001.gbk	0.9526	0.9526
Pantoea_ananatis_PANS_99_31/JABDZL010000075.1.region001.gbk	0.957	0.8755
phosphonate_reference_bgcs/phosphinothricin_PTT.region001.gbk	0.96	0.9445
phosphonate_reference_bgcs/argolaphos.region001.gbk	0.9667	0.9667
Pantoea_ananatis_PA13/CP003085.1.region002.gbk	0.9685	0.9458
phosphonate_reference_bgcs/bialaphos.region001.gbk	0.9697	0.9446
Pantoea_ananatis_BAV3096/JASHLP010000001.1.region001.gbk	0.9772	0.957
Pantoea_ananatis_PP105/JBYHZO010000002.1.region001.gbk	0.9772	0.917
phosphonate_reference_bgcs/phosphonothrixin.region001.gbk	0.9774	0.9774
Pantoea_ananatis_LMG_5342/HE617160.1.region002.gbk	0.9784	0.9377
Pantoea_allii_21GA0582/JBNUMG010000005.1.region001.gbk	0.9816	0.9592
Pantoea_allii_LMG_24248_2/NTMH01000040.1.region001.gbk	0.9823	0.8822
