region	organism	gcf	region_bp	core_bp	core_bp_after_trim	extension_bp	extending_profiles
CP059087.1.region001.gbk	Pantoea agglomerans	2	51132	31132	3340	27792	Aminotran_1_2
CP134747.1.region001.gbk	Pantoea agglomerans	2	51087	31087	3340	27747	Aminotran_1_2
JBBJRK010000012.1.region001.gbk	Pantoea agglomerans	2	51087	31087	3340	27747	Aminotran_1_2
CP084200.1.region001.gbk	Pantoea agglomerans	2	50462	30462	3340	27122	Aminotran_1_2
JBBJPZ010000017.1.region001.gbk	Pantoea agglomerans	2	50462	30462	3340	27122	Aminotran_1_2
CP134764.1.region001.gbk	Pantoea agglomerans	2	50462	30462	3340	27122	Aminotran_1_2
JBBJQM010000016.1.region001.gbk	Pantoea agglomerans	2	50462	30462	3340	27122	Aminotran_1_2
CP134727.1.region001.gbk	Pantoea agglomerans	2	50462	30462	3340	27122	Aminotran_1_2
JBBJQY010000013.1.region001.gbk	Pantoea agglomerans	2	31283	19588	3340	16248	Aminotran_1_2
JBBJQT010000015.1.region001.gbk	Pantoea agglomerans	2	31272	19587	3340	16247	Aminotran_1_2
JBBJSA010000012.1.region001.gbk	Pantoea agglomerans	2	31497	19587	3340	16247	Aminotran_1_2
CEUYZP010000005.1.region001.gbk	Pantoea sp. E956-1	22	25812	15346	1548	13798	Aminotran_1_2;PALP
CAHS01000016.1.region001.gbk	Erwinia piriflorinigrans CFBP 5888	20	38467	18467	5069	13398	Aminotran_5
CP049115.1.region001.gbk	Pantoea stewartii	9	38279	18279	5076	13203	2-Hacid_dh_C
JADWWD010000003.1.region001.gbk	Pantoea stewartii subsp. indologenes	9	38261	18261	5076	13185	2-Hacid_dh_C
SOAJ01000002.1.region001.gbk	Pantoea sp. PNA 14-12	9	38261	18261	5076	13185	2-Hacid_dh_C
JADWWC010000004.1.region001.gbk	Pantoea stewartii subsp. indologenes	9	38261	18261	5076	13185	2-Hacid_dh_C
JADWWB010000005.1.region001.gbk	Pantoea stewartii subsp. indologenes	9	38261	18261	5076	13185	2-Hacid_dh_C
JACVUO010000002.1.region001.gbk	Pantoea sp. S61	15	34772	14772	3355	11417	Fe-ADH
CP171468.1.region001.gbk	Pantoea vagans	2	36147	16147	4735	11412	Aminotran_1_2
JBBCYJ010000002.1.region001.gbk	Pantoea ananatis	5	35533	15533	6528	9005	Aminotran_1_2
JABDYX010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	6527	9005	Aminotran_1_2
JASCYM010000012.1.region001.gbk	Pantoea stewartii	17	34144	14144	7031	7113	PALP
JALKLF010000062.1.region001.gbk	Pantoea ananatis	5	21290	15532	9145	6387	Aminotran_1_2
JABDZL010000075.1.region001.gbk	Pantoea ananatis	5	21290	15532	9145	6387	Aminotran_1_2
CP022725.1.region001.gbk	Erwinia persicina	8	35627	15627	9313	6314	Aminotran_1_2
JBSPZY010000001.1.region001.gbk	Pantoea ananatis	5	35533	15533	9224	6309	Aminotran_1_2
JAABOW010000009.1.region001.gbk	Pantoea ananatis	5	35533	15533	9224	6309	Aminotran_1_2
JASHLP010000001.1.region001.gbk	Pantoea ananatis	5	35533	15533	9224	6309	Aminotran_1_2
JASHLO010000001.1.region002.gbk	Pantoea ananatis	5	35533	15533	9224	6309	Aminotran_1_2
JBYHZO010000002.1.region001.gbk	Pantoea ananatis	5	35533	15533	9224	6309	Aminotran_1_2
JBBJQR010000002.1.region001.gbk	Pantoea agglomerans	8	35715	15715	9408	6307	Aminotran_1_2
CP086009.1.region002.gbk	Pantoea ananatis	5	35521	15521	9217	6304	Aminotran_1_2
HE617160.1.region002.gbk	Pantoea ananatis LMG 5342	5	35521	15521	9217	6304	Aminotran_1_2
CP193916.1.region001.gbk	Pantoea allii	19	35577	15577	9287	6290	Aminotran_1_2
JABDYZ010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKJI010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JABDZC010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKJK010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKKJ010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
FPJM01000001.1.region001.gbk	Pantoea ananatis	5	35533	15533	9275	6258	Aminotran_1_2
JABDZA010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKKN010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JBBCZL010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKMA010000003.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKLR010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JABDZE010000001.1.region001.gbk	Pantoea ananatis	5	35532	15532	9274	6258	Aminotran_1_2
JALKLZ010000016.1.region001.gbk	Pantoea ananatis	5	25715	15532	9274	6258	Aminotran_1_2
JALKIR010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLG010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKI010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAD010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZN010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDYS010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP090356.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAZ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKX010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JAUHJV010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLK010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJN010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKN010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBYHZO010000002.1.region002.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLS010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JASCAL010000031.1.region001.gbk	Pantoea sp. V108_6	1	23338	3338	3338	0	
JALKLM010000007.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JAABOW010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLF010000010.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJY010000008.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZM010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBQOUR010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKY010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLV010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAP010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKC010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLN010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBB010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBNDNJ010000002.1.region001.gbk	Pantoea sp. EEL5	1	23338	3338	3338	0	
JABEBJ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBYHZK010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZC010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJJ010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JFZU01000015.1.region001.gbk	Pantoea ananatis LMG 2665	1	23338	3338	3338	0	
JABDZY010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBR010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJQ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKMB010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBSSCE010000003.1.region001.gbk	Pantoea sp. PA1	1	23338	3338	3338	0	
QTTO01000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKQ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAK010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJK010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDYR010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZZ010000004.1.region001.gbk	Pantoea ananatis	1	23339	3339	3339	0	
JABEBN010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJZ010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBYHZL010000009.1.region001.gbk	Pantoea ananatis	1	21546	3338	3338	0	
JMJJ01000006.1.region001.gbk	Pantoea ananatis LMG 2665	1	23338	3338	3338	0	
SMZS01000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JXUI01000022.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
LYOQ01000033.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
QGGN01000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JAODYK010000017.1.region001.gbk	Pantoea ananatis	1	16690	3338	3338	0	
CP086009.1.region001.gbk	Pantoea ananatis	1	23337	3337	3337	0	
JABDZT010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JASHLO010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBNFPX010000006.1.region001.gbk	Pantoea ananatis	1	15663	3338	3338	0	
CABTKG010000010.1.region001.gbk	uncultured Pantoea sp.	1	23338	3338	3338	0	
JABDZA010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJT010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAU010000054.1.region001.gbk	Pantoea ananatis	1	4227	3302	3302	0	
JALKKJ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLU010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBP010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKM010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZK010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBSPZW010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBYHZF010000005.1.region001.gbk	Pantoea ananatis	1	13893	3338	3338	0	
JALKKA010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAI010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBD010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJS010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJU010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JAUHJU010000015.1.region001.gbk	Pantoea ananatis	1	21293	3338	3338	0	
JAUHJW010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAQ010000011.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAE010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDYX010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZL010000010.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
HE617160.1.region001.gbk	Pantoea ananatis LMG 5342	1	23337	3337	3337	0	
JALKLD010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAC010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZV010000007.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJH010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
RQJN01000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
