family	region	genome	locus_tag	original_product	transferred_product	origin	source_genomes	n_sources	n_agree	n_disagree	group_size
1	AYST01000002.1.region001	Pantoea_ananatis_BRT98	V461_00355	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CP086009.1.region001	Pantoea_ananatis_VY148	LLG94_05250	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKLU010000003.1.region001	Pantoea_ananatis_99-14	ctg17_258		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKLK010000004.1.region001	Pantoea_ananatis_03-1	ctg21_133		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	HE617160.1.region001	Pantoea_ananatis_LMG_5342	PANA5342_0786	carbamoyl-phosphate synthase, large subunit	carbamoyl-phosphate synthase, large subunit	observed					174
1	JALKIR010000004.1.region001	Pantoea_ananatis_99-10	ctg36_113		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKE010000006.1.region001	Pantoea_ananatis_98-8	ctg24_134		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJJ010000001.1.region001	Pantoea_ananatis_99-18	ctg11_364		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJZ010000005.1.region001	Pantoea_ananatis_200-7	ctg19_144		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZL010000010.1.region001	Pantoea_ananatis_PANS_99_31	ctg11_99		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJD010000001.1.region001	Pantoea_ananatis_19-8	ctg66_122		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	QGGN01000004.1.region001	Pantoea_ananatis_PNA_200-7	C7421_104147	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABEAI010000003.1.region001	Pantoea_ananatis_PNA_15_1	ctg14_292		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAS010000003.1.region001	Pantoea_ananatis_PNA_18_7S	ctg14_284		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	AP019753.1.region001	Pantoea_ananatis_FU-01	PAFU01_08020	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
