genome	mode	cds_per_mb	best_bitscore	pass
Blochmannia_endosymbiont_of_Camponotus_Colobopsis_obliquus_757	blastp	784	0.0	no
Brenneria_nigrifluens_DSM_30175___ATCC_13028	blastp	913	52.0	no
Edwardsiella_anguillarum_ET080813	blastp	905	0.0	no
Enterobacter_cancerogenus_FDAARGOS_1428	blastp	928	52.8	no
Enterobacter_cloacae_1382	blastp	941	52.8	no
Enterobacteriaceae_endosymbiont_of_Donacia_marginata_DmarSym	blastp	883	0.0	no
Klebsiella_electrica_DSM_102253	blastp	949	53.5	no
Klebsiella_indica_TOUT106	blastp	897	52.8	no
Klebsiella_michiganensis_THO-011	blastp	923	52.8	no
Klebsiella_planticola_FDAARGOS_64	blastp	931	51.6	no
Kosakonia_styphnolobii_H02	blastp	928	52.8	no
Mixta_hanseatica_X22927	blastp	931	219.0	yes
Pantoea_alfalfae_CQ10	blastp	912	50.8	no
Pantoea_pleuroti_JZB_2120015	blastp	928	50.4	no
Pectobacterium_zantedeschiae_9M	blastp	883	321.0	yes
Providencia_xihuensis_SKLX074055	blastp	890	91.7	no
Providencia_zhijiangensis_D4759	blastp	893	82.8	no
Pseudescherichia_vulneris_4928STDY7071515	blastp	820	49.7	no
Rosenbergiella_australiborealis_CdVSA20.1	blastp	971	0.0	no
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2	blastp	920	82.4	no
Serratia_ficaria_NCTC12148	blastp	914	82.0	no
Serratia_liquefaciens_ATCC_27592	blastp	922	51.2	no
Sodalis-like_secondary_symbiont_of_Drepanosiphum_platanoidis_Drplatanoidis-3702	blastp	813	40.0	no
Xenorhabdus_anantnagensis_XENO-2	blastp	913	70.1	no
Xenorhabdus_yunnanensis_XENO-10	blastp	954	68.2	no
secondary_endosymbiont_of_Ctenarytaina_eucalypti_Ceuc_S	blastp	514	0.0	no
Enterobacter_sichuanensis_SGAir0282	blastp	935	52.8	no
Enterobacteriaceae_endosymbiont_of_Donacia_versicolorea_DversSym	blastp	878	0.0	no
Erwinia_persicina_Cp2	blastp	908	53.9	no
Erwinia_psychrophila_CCM_9357	blastp	912	51.2	no
Gibbsiella_dentisursi_JCM_17201	blastp	898	52.4	no
Lelliottia_wanjuensis_V104_15	blastp	926	52.8	no
Limnobaculum_parvum_HYN0051	blastp	822	0.0	no
Photorhabdus_kleinii_DSM_23513	blastp	887	66.6	no
Photorhabdus_tasmaniensis_T327	blastp	917	80.1	no
