genome	mode	cds_per_mb	best_bitscore	pass
Glycomyces_albidus_NEAU-7082	blastp	875	89.4	no
Glycomyces_albus_JCM_31744	blastp	1207	407.0	yes
Glycomyces_algeriensis_DSM_44727	blastp	889	89.0	no
Glycomyces_algeriensis_DSM_44727_2	blastp	900	89.0	no
Glycomyces_algeriensis_JCM_14910	blastp	909	51.2	no
Glycomyces_algeriensis_LLR39Z86	blastp	910	51.2	no
Glycomyces_amatae_A-F_0318	blastp	903	133.0	yes
Glycomyces_arizonensis_DSM_44726	blastx	0	45.4	no
Glycomyces_arizonensis_PHT1-L5_MAG038	blastp	926	48.9	no
Glycomyces_artemisiae_Bin5.27	blastp	1040	46.6	no
Glycomyces_artemisiae_CGMCC_4.7067	blastp	921	92.0	no
Glycomyces_buryatensis_18	blastp	891	52.8	no
Glycomyces_dulcitolivorans_SJ-25	blastx	0	73.6	no
Glycomyces_endophyticus_JCM_16001	blastp	919	89.7	no
Glycomyces_halotolerans_JCM_31484	blastp	930	698.0	yes
Glycomyces_harbinensis_ATCC_43155	blastx	0	129.0	yes
Glycomyces_harbinensis_CGMCC_4.3516	blastp	892	129.0	yes
Glycomyces_lechevalierae_DSM_44724	blastp	897	38.5	no
Glycomyces_lechevalierae_DSM_44724_2	blastp	913	51.6	no
Glycomyces_lechevalierae_JCM_14912	blastp	927	51.6	no
Glycomyces_luteolus_NEAU-A15	blastp	895	115.0	yes
Glycomyces_mayteni_JCM_16217	blastp	906	90.1	no
Glycomyces_mayteni_JCM_16217_2	blastp	901	90.1	no
Glycomyces_mayteni_JCM_16217_3	blastp	905	90.1	no
Glycomyces_mayteni_JCM_16217_4	blastp	1080	90.1	no
Glycomyces_niveus_NEAU-S30	blastp	896	86.7	no
Glycomyces_paridis_CPCC_204357	blastp	891	802.0	yes
Glycomyces_rhizosphaerae_CGMCC_4.7396	blastp	896	95.5	no
Glycomyces_rutgersensis_JCM_6238	blastp	919	51.6	no
Glycomyces_salinus_YIM_93776	blastx	0	691.0	yes
Glycomyces_sambucus_CGMCC_4.3147	blastp	900	96.7	no
Glycomyces_sambucus_NPDC046794	blastp	922	94.4	no
Glycomyces_sp._L485	blastp	887	47.8	no
Glycomyces_sp._MUSA5-2	blastx	0	67.4	no
Glycomyces_sp._NPDC021274	blastp	912	87.0	no
Glycomyces_sp._NPDC046736	blastp	914	101.0	yes
Glycomyces_sp._NPDC047010	blastp	902	92.4	no
Glycomyces_sp._NPDC048151	blastp	920	94.4	no
Glycomyces_sp._NPDC048987	blastp	889	95.5	no
Glycomyces_sp._NPDC049804	blastp	903	84.3	no
Glycomyces_sp._NPDC050141	blastp	903	50.4	no
Glycomyces_sp._NRRL_B-16210	blastx	0	828.0	yes
Glycomyces_sp._SMAG_U10396	blastp	998	65.9	no
Glycomyces_sp._SMAG_U2435	blastp	912	44.7	no
Glycomyces_sp._SMAG_U3721	blastp	945	92.8	no
Glycomyces_sp._SMAG_U6703	blastp	934	55.5	no
Glycomyces_sp._TRM65418	blastp	889	47.0	no
Glycomyces_sp._YM15	blastx	0	52.8	no
Glycomyces_sp._clean646	blastx	0	45.1	no
Glycomyces_tarimensis_JCM_30184	blastp	934	47.0	no
Glycomyces_tenuis_DSM_44171	blastx	0	263.0	yes
Glycomyces_tenuis_NRRL_B-16895	blastx	0	263.0	yes
Glycomyces_terrestris_YIM_121974	blastp	883	94.0	no
Glycomyces_tritici_NEAU_C2	blastp	894	53.5	no
Glycomyces_xiaoerkulensis_TRM_41368	blastx	0	0.0	no
Saccharothrix_algeriensis_DSM_44581	blastp	897	391.0	yes
Saccharothrix_algeriensis_NRRL_B-24137	blastp	798	391.0	yes
Saccharothrix_australiensis_DSM_43800	blastp	831	0.0	no
Saccharothrix_camelliae_HUAS_TT1	blastp	870	50.1	no
Saccharothrix_carnea_CGMCC_4.7097	blastp	893	55.5	no
Saccharothrix_carnea_NPDC127145	blastp	899	52.4	no
Saccharothrix_coeruleofusca_DSM_43679	blastp	941	0.0	no
Saccharothrix_coeruleofusca_JCM_3313	blastp	938	0.0	no
Saccharothrix_deserti_BMP_B8144	blastx	0	0.0	no
Saccharothrix_ecbatanensis_DSM_45486	blastp	902	260.0	yes
Saccharothrix_espanaensis_DSM_44229_type_strain:_DSM_44229	blastp	900	56.2	no
Saccharothrix_hoggarensis_CCUG_60214	blastp	954	0.0	no
Saccharothrix_hoggarensis_DSM_45457	blastp	903	0.0	no
Saccharothrix_isguenensis_DSM_46885	blastp	886	0.0	no
Saccharothrix_longispora_DSM_43749	blastp	884	47.8	no
Saccharothrix_longispora_JCM_3314	blastp	889	47.8	no
Saccharothrix_longispora_JCM_3314_2	blastp	875	47.8	no
Saccharothrix_longispora_MB29	blastp	911	0.0	no
Saccharothrix_longispora_subsp._yanglingensis_Hhs.015	blastp	834	50.1	no
Saccharothrix_lopnurensis_CGMCC_4.7246	blastp	868	42.4	no
Saccharothrix_luteola_NEAU-S10	blastp	874	345.0	yes
Saccharothrix_mutabilis_subsp._capreolus_JCM_4248	blastp	885	88.2	no
Saccharothrix_mutabilis_subsp._capreolus_JCM_4248_2	blastp	937	88.2	no
Saccharothrix_mutabilis_subsp._mutabilis_JCM_3380	blastp	910	43.1	no
Saccharothrix_obliqua_SC076	blastp	873	50.8	no
Saccharothrix_sabaoui_Mg75	blastp	851	46.6	no
Saccharothrix_saharensis_DSM_45456	blastp	878	53.9	no
Saccharothrix_saharensis_NPDC006247	blastp	879	55.1	no
Saccharothrix_sp._6-C	blastp	852	37.0	no
Saccharothrix_sp._AJ9571	blastp	885	69.7	no
Saccharothrix_sp._ALI-22-I	blastp	848	38.1	no
Saccharothrix_sp._BKS2	blastp	861	44.7	no
Saccharothrix_sp._Bin2.2	blastp	965	44.3	no
Saccharothrix_sp._Bin3.22.1	blastp	936	51.6	no
Saccharothrix_sp._CB00851	blastp	854	52.4	no
Saccharothrix_sp._CCNWLW140	blastp	876	87.4	no
Saccharothrix_sp._CCNWLY140	blastp	877	87.4	no
Saccharothrix_sp._CCNWLY140-2	blastp	877	87.4	no
Saccharothrix_sp._CCNWYY140	blastp	877	87.4	no
Saccharothrix_sp._DSM_118769	blastp	844	46.6	no
Saccharothrix_sp._HUAS_TT10	blastp	871	50.1	no
Saccharothrix_sp._MB29	blastp	1111	0.0	no
Saccharothrix_sp._NBAS_001	blastp	889	58.2	no
Saccharothrix_sp._NPDC042600	blastp	889	88.2	no
Saccharothrix_sp._NRRL_B-16314	blastx	0	317.0	yes
Saccharothrix_sp._NRRL_B-16348	blastp	773	340.0	yes
Saccharothrix_sp._RH59_bin.028	blastx	0	0.0	no
Saccharothrix_sp._RH59_bin.045	blastx	0	0.0	no
Saccharothrix_sp._S26	blastp	884	53.1	no
Saccharothrix_sp._ST-888	blastp	754	535.0	yes
Saccharothrix_stipae_JCM_30560	blastp	906	57.4	no
Saccharothrix_syringae_NRRL_B-16468	blastx	0	329.0	yes
Saccharothrix_syringae_NRRL_B-16468_2	blastp	811	329.0	yes
Saccharothrix_tamanrassetensis_CECT_8640	blastp	910	0.0	no
Saccharothrix_texasensis_DSM_44231	blastp	865	0.0	no
Saccharothrix_variisporea_DSM_43911	blastp	880	43.1	no
Saccharothrix_variisporea_NPDC052329	blastp	891	43.1	no
Saccharothrix_violaceirubra_DSM_45084	blastp	940	0.0	no
Saccharothrix_violaceirubra_JCM_16955	blastp	938	0.0	no
Saccharothrix_xinjiangensis_CGMCC_4.1731	blastp	847	0.0	no
Saccharothrix_xinjiangensis_JCM_12329	blastp	868	0.0	no
Streptomyces_griseus_50b	blastp	882	0.0	no
Streptomyces_griseus_BIG105	blastx	0	0.0	no
Streptomyces_griseus_CGMCC_4.18	blastx	0	0.0	no
Streptomyces_griseus_DSM_40236	blastp	825	0.0	no
Streptomyces_griseus_JCM_4516	blastp	892	0.0	no
Streptomyces_griseus_M107_MBG-DUTH_FBUA_749_ELTE	blastp	884	0.0	no
Streptomyces_griseus_MR-45	blastp	872	0.0	no
Streptomyces_griseus_NBC_01018	blastp	870	0.0	no
Streptomyces_griseus_NBC_01345	blastp	854	0.0	no
Streptomyces_griseus_NBC_01630	blastp	865	0.0	no
Streptomyces_griseus_NBC_01652	blastp	864	0.0	no
Streptomyces_griseus_NBRC_12875	blastp	836	0.0	no
Streptomyces_griseus_NCTC13033	blastp	834	0.0	no
Streptomyces_griseus_NCTC7807	blastp	832	44.7	no
Streptomyces_griseus_NPDC000959	blastp	860	0.0	no
Streptomyces_griseus_NPDC002289	blastp	833	0.0	no
Streptomyces_griseus_NPDC002291	blastp	832	0.0	no
Streptomyces_griseus_NPDC002432	blastp	849	0.0	no
Streptomyces_griseus_NPDC002469	blastp	827	0.0	no
Streptomyces_griseus_NPDC002500	blastp	872	151.0	yes
Streptomyces_griseus_NPDC003516	blastp	868	0.0	no
Streptomyces_griseus_NPDC004281	blastp	857	153.0	yes
Streptomyces_griseus_NPDC004318	blastp	872	0.0	no
Streptomyces_griseus_NPDC004590	blastp	834	0.0	no
Streptomyces_griseus_NPDC004664	blastp	834	0.0	no
Streptomyces_griseus_NPDC005972	blastp	845	0.0	no
Streptomyces_griseus_NPDC006442	blastp	849	0.0	no
Streptomyces_griseus_NPDC007038	blastp	876	151.0	yes
Streptomyces_griseus_NPDC007055	blastp	882	151.0	yes
Streptomyces_griseus_NPDC007564	blastp	830	0.0	no
Streptomyces_griseus_NPDC007567	blastp	830	0.0	no
Streptomyces_griseus_NPDC007795	blastp	830	0.0	no
Streptomyces_griseus_NPDC007796	blastp	831	0.0	no
Streptomyces_griseus_NPDC007798	blastp	830	0.0	no
Streptomyces_griseus_NPDC007801	blastp	830	0.0	no
Streptomyces_griseus_NPDC007802	blastp	830	0.0	no
Streptomyces_griseus_NPDC007823	blastp	834	0.0	no
Streptomyces_griseus_NPDC007824	blastp	833	0.0	no
Streptomyces_griseus_NPDC007829	blastp	830	0.0	no
Streptomyces_griseus_NPDC007833	blastp	830	0.0	no
Streptomyces_griseus_NPDC007841	blastp	831	0.0	no
Streptomyces_griseus_NPDC007937	blastp	830	0.0	no
Streptomyces_griseus_NPDC007943	blastp	830	0.0	no
Streptomyces_griseus_NPDC007954	blastp	830	0.0	no
Streptomyces_griseus_NPDC007963	blastp	830	0.0	no
Streptomyces_griseus_NPDC007966	blastp	830	0.0	no
Streptomyces_griseus_NPDC008207	blastp	832	0.0	no
Streptomyces_griseus_NPDC008250	blastp	874	0.0	no
Streptomyces_griseus_NPDC008267	blastp	873	0.0	no
Streptomyces_griseus_NPDC010767	blastp	873	0.0	no
Streptomyces_griseus_NPDC015508	blastp	827	0.0	no
Streptomyces_griseus_NPDC016575	blastp	832	0.0	no
Streptomyces_griseus_NPDC016576	blastp	833	0.0	no
Streptomyces_griseus_NPDC016577	blastp	831	0.0	no
Streptomyces_griseus_NPDC016592	blastp	831	0.0	no
Streptomyces_griseus_NPDC016593	blastp	833	0.0	no
Streptomyces_griseus_NPDC016611	blastp	833	0.0	no
Streptomyces_griseus_NPDC016881	blastp	832	0.0	no
Streptomyces_griseus_NPDC017137	blastp	866	0.0	no
Streptomyces_griseus_NPDC017147	blastp	873	0.0	no
Streptomyces_griseus_NPDC017168	blastp	870	0.0	no
Streptomyces_griseus_NPDC017308	blastp	870	0.0	no
Streptomyces_griseus_NPDC017853	blastp	844	0.0	no
Streptomyces_griseus_NPDC020249	blastp	833	0.0	no
Streptomyces_griseus_NPDC020758	blastp	863	175.0	yes
Streptomyces_griseus_NPDC022204	blastp	832	0.0	no
Streptomyces_griseus_NPDC023468	blastp	845	0.0	no
Streptomyces_griseus_NPDC025847	blastp	831	0.0	no
Streptomyces_griseus_NPDC027195	blastp	868	394.0	yes
Streptomyces_griseus_NPDC028208	blastp	831	0.0	no
Streptomyces_griseus_NPDC029996	blastp	864	0.0	no
Streptomyces_griseus_NPDC030010	blastp	869	0.0	no
Streptomyces_griseus_NPDC030141	blastp	843	0.0	no
Streptomyces_griseus_NPDC031532	blastp	848	0.0	no
Streptomyces_griseus_NPDC033132	blastp	867	0.0	no
Streptomyces_griseus_NPDC033134	blastp	869	0.0	no
Streptomyces_griseus_NPDC033161	blastp	869	0.0	no
Streptomyces_griseus_NPDC037215	blastp	827	0.0	no
Streptomyces_griseus_NPDC037220	blastp	829	0.0	no
Streptomyces_griseus_NPDC037257	blastp	831	0.0	no
Streptomyces_griseus_NPDC037274	blastp	826	0.0	no
Streptomyces_griseus_NPDC037787	blastp	838	0.0	no
