gcf	members	biosynthetic_domains	core	tailoring	lipid	transport	domains	nearest_gcf	nearest_similarity	differing_domains	verdict
1	186	11	3	7	0	1	PF00296(Bac_luciferase);PF00330(Aconitase);PF00682(HMGL-like);PF13714(PEP_mutase);PF22617(HCS_D2);PF00694(Aconitase_C);PF01613(Flavin_Reduct);PF07690(MFS_1);PF13673(Acetyltransf_10);PF13649(Methyltransf_25);PF13535(ATP-grasp_4)	2	0.909	PF13535(ATP-grasp_4)	differs from GCF 2 by 1 biosynthetic domain only (PF13535(ATP-grasp_4)) — near-identical, but NOT indistinguishable; check the difference before calling this split contextual
2	29	10	3	6	0	1	PF00296(Bac_luciferase);PF00682(HMGL-like);PF00694(Aconitase_C);PF13649(Methyltransf_25);PF13673(Acetyltransf_10);PF13714(PEP_mutase);PF22617(HCS_D2);PF00330(Aconitase);PF07690(MFS_1);PF01613(Flavin_Reduct)	1	0.909	PF13535(ATP-grasp_4)	differs from GCF 1 by 1 biosynthetic domain only (PF13535(ATP-grasp_4)) — near-identical, but NOT indistinguishable; check the difference before calling this split contextual
5	24	13	3	7	1	2	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00733(Asn_synthase);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF07690(MFS_1);PF13522(GATase_6);PF13561(adh_short_C2);PF13714(PEP_mutase);PF00483(NTP_transferase);PF01769(MgtE);PF12804(NTP_transf_3);PF13508(Acetyltransf_7)	19	0.846		
4	23	11	3	6	0	2	PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00293(NUDIX);PF00465(Fe-ADH);PF01810(LysE);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	20	0.750		
3	21	20	3	13	0	4	PF00296(Bac_luciferase);PF00330(Aconitase);PF00535(Glycos_transf_2);PF00551(Formyl_trans_N);PF00682(HMGL-like);PF00694(Aconitase_C);PF00892(EamA);PF01041(DegT_DnrJ_EryC1);PF01370(Epimerase);PF01408(GFO_IDH_MocA);PF01613(Flavin_Reduct);PF02911(Formyl_trans_C);PF05232(BTP);PF07690(MFS_1);PF13407(Peripla_BP_4);PF13649(Methyltransf_25);PF13673(Acetyltransf_10);PF13714(PEP_mutase);PF22617(HCS_D2);PF22725(GFO_IDH_MocA_C3)	2	0.500		
7	20	8	3	4	0	1	PF00550(PP-binding);PF00733(Asn_synthase);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF03756(AfsA);PF07690(MFS_1);PF13522(GATase_6);PF13714(PEP_mutase)	21	1.000		chemically indistinguishable from GCF 21 — split is not biosynthetic
9	5	14	3	5	0	6	PF00005(ABC_tran);PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00465(Fe-ADH);PF00593(TonB_dep_Rec);PF01032(FecCD);PF01810(LysE);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF07715(Plug);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	4	0.667		
6	4	4	3	0	0	1	PF00005(ABC_tran);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13714(PEP_mutase)	21	0.333		
12	4	6	1	4	0	1	PF00202(Aminotran_3);PF01053(Cys_Met_Meta_PP);PF01810(LysE);PF08241(Methyltransf_11);PF13649(Methyltransf_25);PF13714(PEP_mutase)	17	0.857		
11	3	8	4	3	1	0	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00483(NTP_transferase);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF13535(ATP-grasp_4);PF13714(PEP_mutase)	13	0.500		
8	2	11	3	6	1	1	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00483(NTP_transferase);PF00733(Asn_synthase);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF07690(MFS_1);PF12804(NTP_transf_3);PF13522(GATase_6);PF13561(adh_short_C2);PF13714(PEP_mutase)	19	1.000		chemically indistinguishable from GCF 19 — split is not biosynthetic
10	2	9	4	4	0	1	PF00067(p450);PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00891(Methyltransf_2);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF12804(NTP_transf_3);PF13714(PEP_mutase)	13	0.467		
13	2	13	4	5	1	3	PF00155(Aminotran_1_2);PF00266(Aminotran_5);PF00551(Formyl_trans_N);PF00593(TonB_dep_Rec);PF01066(CDP-OH_P_transf);PF02775(TPP_enzyme_C);PF02776(TPP_enzyme_N);PF07690(MFS_1);PF07715(Plug);PF12804(NTP_transf_3);PF13535(ATP-grasp_4);PF13561(adh_short_C2);PF13714(PEP_mutase)	19	0.500		
14	1	15	3	9	0	3	PF00005(ABC_tran);PF00107(ADH_zinc_N);PF00202(Aminotran_3);PF00465(Fe-ADH);PF00483(NTP_transferase);PF00534(Glycos_transf_1);PF00535(Glycos_transf_2);PF00583(Acetyltransf_1);PF01810(LysE);PF02826(2-Hacid_dh_C);PF07690(MFS_1);PF08240(ADH_N);PF13454(NAD_binding_9);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	4	0.625		
15	1	8	5	2	0	1	PF00155(Aminotran_1_2);PF00465(Fe-ADH);PF01909(NTP_transf_2);PF02655(ATP-grasp_3);PF02775(TPP_enzyme_C);PF07690(MFS_1);PF13714(PEP_mutase);PF25137(ADH_Fe_C)	10	0.308		
16	1	5	1	3	0	1	PF00293(NUDIX);PF07690(MFS_1);PF13535(ATP-grasp_4);PF13561(adh_short_C2);PF13714(PEP_mutase)	13	0.286		
17	1	7	1	5	0	1	PF00202(Aminotran_3);PF00535(Glycos_transf_2);PF01053(Cys_Met_Meta_PP);PF01810(LysE);PF08241(Methyltransf_11);PF13649(Methyltransf_25);PF13714(PEP_mutase)	12	0.857		
