file	record_id	record_index	region	region_name	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	KCB_top_hit	KCB_top_acc	KCB_top_sim	record_desc
Candidatus_Hamiltonella_defensa_5AT_Acyrthosiphon_pisum_T5A	NC_012751	1	1	1.1	179886	219231	False	phosphonate				S-layer glycan	BGC0000796.3	9	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum), complete sequence
Brenneria_goodwinii_FRB141	NZ_CP014137	1	1	1.1	4866836	4895981	False	phosphonate				luminmycin A/glidobactin A/cepafungin	BGC0000383.5	7	Brenneria goodwinii strain FRB141 chromosome, complete genome
Kosakonia_quasisacchari_WCHEs120001	NZ_SJOP01000008	65	1	65.1	100827	147228	False	phosphonate							Kosakonia quasisacchari strain WCHEs120001 8, whole genome shotgun sequence
Xenorhabdus_taiwanensis_TCT-1	NZ_AP028978	1	1	1.1	602903	627452	False	phosphonate	fosfomycin	BGC0001859.4	low	fosfomycin	BGC0001859.4	28	Xenorhabdus taiwanensis strain TCT-1 chromosome, complete genome
Xenorhabdus_thuongxuanensis_30TX1	NZ_MKGR01000006	56	1	56.1	108357	149296	False	phosphonate							Xenorhabdus thuongxuanensis strain 30TX1 Xentx_6, whole genome shotgun sequence
Candidatus_Fukatsuia_symbiotica_WIR	NZ_JAXAWC010000001	2	1	2.1	579917	614938	False	phosphonate				O-antigen	BGC0000788.3	10	Candidatus Fukatsuia symbiotica strain WIR 1, whole genome shotgun sequence
Photorhabdus_laumondii_TT01	NZ_CP024901	1	1	1.1	2200268	2223233	False	phosphonate	luminmycin A/glidobactin A/cepafungin	BGC0000383.5	low	luminmycin A/glidobactin A/cepafungin	BGC0000383.5	48	Photorhabdus laumondii strain TT01 chromosome, complete genome
Pectobacterium_cacticida_CFBP3628	NZ_CP133656	1	1	1.1	771936	807784	False	phosphonate				polysaccharide B	BGC0001411.3	6	Pectobacterium cacticida strain CFBP3628 chromosome, complete genome
Brenneria_populi_D9-5	NZ_JAYWTM010000001	1	1	1.1	258235	299264	False	phosphonate				phosphonoglycans	BGC0000806.5	3	Brenneria populi strain D9-5 contig1, whole genome shotgun sequence
Pectobacterium_zantedeschiae_9M	NZ_NWTM01000001	3	1	3.1	2921590	2943910	False	phosphonate				polysaccharide B	BGC0001411.3	6	Pectobacterium zantedeschiae strain 9M scaffold_01, whole genome shotgun sequence
Candidatus_Fukatsuia_endosymbiont_of_Drepanosiphum_platanoidis_GCF_964030615.1	NZ_CAXIPW010000009	9	1	9.1	94848	129869	False	phosphonate				O-antigen	BGC0000788.3	10	Candidatus Fukatsuia endosymbiont of Drepanosiphum platanoidis isolate f083b7f5-d28b-434c-aaf5-ab1cdccc28fd contig_9, whole genome shotgun sequence
Pectobacterium_colocasium_LJ1	NZ_CP084032	1	1	1.1	585004	607323	False	phosphonate				phosphonoglycans	BGC0000806.5	3	Pectobacterium colocasium strain LJ1 chromosome, complete genome
Samsonia_erythrinae_DSM_16730	NZ_SMBY01000001	1	1	1.1	124091	146193	False	phosphonate				polysaccharide B	BGC0001411.3	6	Samsonia erythrinae strain DSM 16730 Ga0244673_101, whole genome shotgun sequence
Lonsdalea_quercina_ATCC_29281	NZ_FNQS01000008	9	1	9.1	38361	60486	False	phosphonate				polysaccharide B	BGC0001411.3	6	Lonsdalea quercina strain ATCC 29281, whole genome shotgun sequence
Winslowiella_iniecta_B120	NZ_JRXE01000010	10	1	10.1	53774	88404	False	phosphonate							Winslowiella iniecta strain B120 contig000010, whole genome shotgun sequence
Brenneria_corticis_CFCC_11842	NZ_KZ819082	12	1	12.1	71436	93551	False	phosphonate	xefoampeptides A-G	BGC0001824.4	low	xefoampeptides A-G	BGC0001824.4	50	Brenneria corticis strain CFCC 11842 scaffold12, whole genome shotgun sequence
Affinibrenneria_salicis_L3-3HA	NZ_VYKJ01000007	42	1	42.1	215524	259747	False	phosphonate				polysaccharide B	BGC0001411.3	6	Affinibrenneria salicis strain L3-3HA Scaffold7, whole genome shotgun sequence
Pantoea_stewartii_ZJ-FGZX1	NZ_CP049115	1	1	1.1	1771705	1809984	False	phosphonate							Pantoea stewartii strain ZJ-FGZX1 chromosome, complete genome
Pectobacterium_parmentieri_RNS_08-42-1A	NZ_CP015749	1	1	1.1	3414481	3436759	False	phosphonate							Pectobacterium parmentieri strain RNS 08-42-1A chromosome, complete genome
Pectobacterium_peruviense_A350-S18-N16	NZ_CP161826	1	1	1.1	4294619	4316886	False	phosphonate				polysaccharide B	BGC0001411.3	6	Pectobacterium peruviense strain A350-S18-N16 chromosome, complete genome
Pantoea_allii_LMG24248	NZ_CP193910	1	1	1.1	2940218	2965294	False	phosphonate							Pantoea allii strain LMG24248 chromosome, complete genome
Erwinia_piriflorinigrans_CFBP_5888	NZ_CAHS01000016	15	1	15.1	56498	94965	False	phosphonate				gamexpeptide A/gamexpeptide B/gamexpeptide E/luminmide B/luminmide D/luminmide E/luminmide F/luminmide G	BGC0002716.2	10	Erwinia piriflorinigrans CFBP 5888, whole genome shotgun sequence
Lonsdalea_populi_N-5-1	NZ_CP065534	1	1	1.1	3524615	3546743	False	phosphonate							Lonsdalea populi strain N-5-1 chromosome, complete genome
Pectobacterium_parvum_FN20211	NZ_CP087392	1	1	1.1	1035893	1066449	False	phosphonate	fosfomycin	BGC0001859.4	low	fosfomycin	BGC0001859.4	50	Pectobacterium parvum strain FN20211 chromosome, complete genome
Candidatus_Fukatsuia_endosymbiont_of_Tuberolachnus_salignus_GCF_964030845.1	NZ_OZ034983	1	1	1.1	649148	684168	False	phosphonate				O-antigen	BGC0000788.3	10	Candidatus Fukatsuia endosymbiont of Tuberolachnus salignus isolate 26c9c4c8-6eef-4afe-9592-fa08003b438b chromosome 1, complete sequence
Erwinia_psidii_IBSBF_435	NZ_RHHM01000002	12	1	12.1	151799	174039	False	phosphonate				polysaccharide B	BGC0001411.3	6	Erwinia psidii strain IBSBF 435 scaffold_2, whole genome shotgun sequence
Photorhabdus_namnaonensis_PB45.5	NZ_LOIC01000072	45	1	45.1	77152	100718	False	phosphonate	luminmycin A/glidobactin A/cepafungin	BGC0000383.5	low	luminmycin A/glidobactin A/cepafungin	BGC0000383.5	43	Photorhabdus namnaonensis strain PB45.5 Phpb_contig000073, whole genome shotgun sequence
Candidatus_Williamhamiltonella_endosymbiont_of_Tuberolachnus_salignus_GCF_964019775.1	NZ_OZ026471	1	1	1.1	688368	727870	False	phosphonate				S-layer glycan	BGC0000796.3	9	Candidatus Hamiltonella endosymbiont of Tuberolachnus salignus isolate eee46e84-88ba-4997-9627-ba9a3c08c7b3 chromosome 1
Photorhabdus_heterorhabditis_VMG	NZ_LJCS01000016	16	1	16.1	24260	49289	False	phosphonate							Photorhabdus heterorhabditis strain VMG contig016, whole genome shotgun sequence
Xenorhabdus_siamensis_AUT15.5	NZ_JBBMXE010000017	17	1	17.1	98401	124574	False	phosphonate				gamexpeptide A/gamexpeptide B/gamexpeptide E/luminmide B/luminmide D/luminmide E/luminmide F/luminmide G	BGC0002716.2	5	Xenorhabdus siamensis strain AUT15.5 Utg3196, whole genome shotgun sequence
Hafnia_psychrotolerans_CGMCC_1.12806	NZ_BMFZ01000004	4	1	4.1	323311	365089	False	phosphonate							Hafnia psychrotolerans strain CGMCC 1.12806 sequence04, whole genome shotgun sequence
Pectobacterium_polaris_NIBIO1392	NZ_CP017482	1	1	1.1	4424855	4447123	False	phosphonate				polysaccharide B	BGC0001411.3	6	Pectobacterium polaris strain NIBIO1392 chromosome, complete genome
Edwardsiella_ictaluri_S07-698	NZ_CP084521	1	1	1.1	2588118	2642195	False	phosphonate							Edwardsiella ictaluri strain S07-698 chromosome, complete genome
Lonsdalea_britannica_477	NZ_CP023009	1	1	1.1	1396444	1419018	False	phosphonate				polysaccharide B	BGC0001411.3	6	Lonsdalea britannica strain 477 chromosome, complete genome
Dickeya_dianthicola_ME23	NZ_CP031560	1	1	1.1	1542770	1569066	False	phosphonate							Dickeya dianthicola strain ME23 chromosome, complete genome
Pantoea_ananatis_PA13	NC_017554	1	1	1.1	823774	847112	False	phosphonate				luminmycin A/glidobactin A/cepafungin	BGC0000383.5	15	Pantoea ananatis PA13, complete sequence
Pantoea_ananatis_PA13	NC_017554	1	2	1.2	4139394	4161484	False	phosphonate							Pantoea ananatis PA13, complete sequence
Pectobacterium_wasabiae_CFBP_3304	NZ_CP015750	1	1	1.1	2378120	2400396	False	phosphonate				phosphonoglycans	BGC0000806.5	3	Pectobacterium wasabiae CFBP 3304 chromosome, complete genome
Photorhabdus_aballayi_APURE	NZ_JAPFCD010000003	61	1	61.1	93305	132267	False	phosphonate	mevalagmapeptide A/mevalagmapeptide B/mevalagmapeptide C/mevalagmapeptide D	BGC0002713.2	low	mevalagmapeptide A/mevalagmapeptide B/mevalagmapeptide C/mevalagmapeptide D	BGC0002713.2	33	Photorhabdus aballayi strain APURE RM7_3, whole genome shotgun sequence
Photorhabdus_aballayi_APURE	NZ_JAPFCD010000007	105	1	105.1	41411	64971	False	phosphonate	luminmycin A/glidobactin A/cepafungin	BGC0000383.5	low	luminmycin A/glidobactin A/cepafungin	BGC0000383.5	28	Photorhabdus aballayi strain APURE RM7_7, whole genome shotgun sequence
Mixta_hanseatica_X22927	NZ_CP082904	1	1	1.1	4171340	4203214	False	phosphonate							Mixta hanseatica isolate X22927 chromosome, complete genome
Pectobacterium_punjabense_SS95	NZ_CP038498	1	1	1.1	635206	657473	False	phosphonate				phosphonoglycans	BGC0000806.5	3	Pectobacterium punjabense strain SS95 chromosome, complete genome
Pectobacterium_atrosepticum_21A	NZ_CP009125	1	1	1.1	544339	566607	False	phosphonate				polysaccharide B	BGC0001411.3	6	Pectobacterium atrosepticum strain 21A chromosome, complete genome
Providencia_burhodogranariea_DSM_19968	NZ_KB233222	1	1	1.1	1366943	1414831	False	phosphonate							Providencia burhodogranariea DSM 19968 scaffold00001, whole genome shotgun sequence
Brenneria_uluponensis_K61	NZ_CP135917	1	1	1.1	1889500	1921458	False	phosphonate				yersiniabactin	BGC0001055.5	4	Brenneria uluponensis strain K61 chromosome, complete genome
Pectobacterium_aroidearum_L6	NZ_CP065044	1	1	1.1	4323831	4346152	False	phosphonate				phosphonoglycans	BGC0000806.5	3	Pectobacterium aroidearum strain L6 chromosome, complete genome
Xenorhabdus_doucetiae_FRM16	NZ_FO704550	1	1	1.1	968875	1008861	False	phosphonate	xefoampeptides A-G	BGC0001824.4	low	xefoampeptides A-G	BGC0001824.4	33	Xenorhabdus doucetiae strain FRM16 chromosome, complete genome
Chimaeribacter_californicus_2015-Iso6	NZ_PJZF01000003	32	1	32.1	24182	65360	False	phosphonate				yersiniabactin	BGC0001055.5	4	Chimaeribacter californicus strain 2015-Iso6 NODE_3_length_358112_cov_29.0238_ID_4586, whole genome shotgun sequence
Pectobacterium_fontis_M022	NZ_JSXC01000064	60	1	60.1	17051	47338	True	phosphonate				polysaccharide B	BGC0001411.3	6	Pectobacterium fontis strain M022 Contig64, whole genome shotgun sequence
Buttiauxella_selenatireducens_R73	NZ_CP133838	1	1	1.1	1827869	1854153	False	phosphonate				N-myristoyl-D-asparagine/cis-7-tetradecenoyl-D-asparagine/(R)-N1-((S)-5-oxohexan-2-yl)-2-tetradecanamidosuccinamide/colibactin/precolibactin 1489	BGC0000972.5	8	Buttiauxella selenatireducens strain R73 chromosome, complete genome
